Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.44896e+06	1.42894e+06		1.49008e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.23804e+06	2.13418e+06		1.80268e+06	1.59491e+06	
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.95038e+06	2.79363e+06		2.82826e+06		
P00350	P00350		gnd		3.90137e+07	3.93575e+07	3.88702e+07	3.91471e+07	3.93631e+07	3.8379e+07
P00363	P00363		frdA		4.50635e+07	4.4739e+07	4.52999e+07	4.44647e+07	4.55087e+07	4.6128e+07
P00370	P00370		gdhA		2.05793e+06	1.96408e+06	2.11124e+06	1.97888e+06	2.13733e+06	2.15624e+06
P00393	P00393		ndh		5.40043e+06	5.4926e+06	5.01065e+06	5.39776e+06	5.35165e+06	5.09013e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.43936e+06	1.4314e+06		1.35161e+06	460056	973645
P00448	P00448		sodA		3.95018e+06	4.13429e+06	3.96777e+06	4.01886e+06	4.11102e+06	3.86884e+06
P00452	P00452		nrdA		9.80457e+06	9.71225e+06	9.90586e+06	9.6644e+06	9.97783e+06	9.89052e+06
P00490	P00490		malP		5.64962e+06	5.65774e+06	5.58257e+06	5.4579e+06	5.58669e+06	5.50511e+06
P00509	P00509		aspC		1.99778e+07	1.9659e+07	1.90667e+07	1.95671e+07	1.93127e+07	1.93344e+07
P00547	P00547		thrB		854239	767931	1.02269e+06	899712	1.11708e+06	990284
P00550	P00550		mtlA		1.45598e+06	1.41997e+06	1.50006e+06	1.38517e+06	1.50371e+06	1.52507e+06
P00561	P00561		thrA		3.04958e+06	3.07514e+06	2.9359e+06	3.01353e+06	2.98527e+06	3.11767e+06
P00562	P00562		metL		3.18189e+06	3.05154e+06	3.10178e+06	3.17402e+06	3.08652e+06	3.11114e+06
P00579	P00579		rpoD		9.131e+06	8.8857e+06	9.15314e+06	8.84447e+06	9.13305e+06	9.20103e+06
P00582	P00582		polA		3.66815e+06	3.71253e+06	3.72667e+06	3.58381e+06	3.71955e+06	3.59742e+06
P00803	P00803		lepB		4.80835e+06	4.78938e+06	4.76216e+06	4.69242e+06	4.90921e+06	4.73752e+06
P00805	P00805		ansB		2.20452e+07	2.22661e+07	2.20089e+07	2.16858e+07	2.21844e+07	2.11615e+07
P00811	P00811		ampC		1.47403e+06	1.51517e+06	1.61349e+06	1.60037e+06	1.49429e+06	1.5654e+06
P00861	P00861		lysA		793338	642821	827158	848969	788706	800604
P00864	P00864		ppc		1.01694e+07	1.00029e+07	9.98369e+06	9.90973e+06	9.91086e+06	1.00403e+07
P00887	P00887		aroH		2.95971e+06	3.08086e+06	2.62933e+06	2.93106e+06	2.86154e+06	2.59383e+06
P00888	P00888		aroF		2.28321e+06	2.256e+06	2.26316e+06	2.28412e+06	2.20466e+06	2.23742e+06
P00892	P00892		ilvG		609104	490800	754825	555134	835603	834251
P00894	P00894		ilvH		902249	825051	890113	784139	872446	889411
P00914	P00914		phrB		1.27621e+06	1.16494e+06	1.08892e+06	1.08114e+06	1.10147e+06	1.03916e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				8.17974e+06	7.50976e+06		8.08374e+06	7.7168e+06	8.26128e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				3.00695e+06	3.15088e+06		2.96108e+06		
P00934	P00934		thrC		4.62194e+06	4.74961e+06	4.85817e+06	4.55606e+06	4.69266e+06	4.70898e+06
P00935	P00935		metB		2.20836e+06	2.60338e+06	2.90428e+06	3.28597e+06	3.21916e+06	3.10477e+06
P00946	P00946		manA		1.13783e+07	1.16222e+07	1.1487e+07	1.1644e+07	1.14662e+07	1.15506e+07
P00954	P00954		trpS		7.99141e+06	7.89582e+06	7.37388e+06	7.67663e+06	7.30545e+06	7.28794e+06
P00956	P00956		ileS		2.40843e+07	2.43772e+07	2.28419e+07	2.41719e+07	2.33417e+07	2.3413e+07
P00957	P00957		alaS		1.7683e+07	1.77503e+07	1.75585e+07	1.74578e+07	1.72793e+07	1.7213e+07
P00959	P00959		metG		1.98192e+07	1.9795e+07	1.91337e+07	1.95789e+07	1.92029e+07	1.91369e+07
P00960	P00960		glyQ		5.15346e+06	5.09779e+06	4.86666e+06	5.07001e+06	5.05874e+06	4.53013e+06
P00961	P00961		glyS		1.47573e+07	1.46642e+07	1.4521e+07	1.47845e+07	1.47329e+07	1.47153e+07
P00962	P00962		glnS		1.14343e+07	1.14535e+07	1.07834e+07	1.15119e+07	1.07962e+07	1.09365e+07
P00963	P00963		asnA		1.99375e+07	1.94066e+07	1.76672e+07	1.98767e+07	1.73817e+07	1.6941e+07
P00968	P00968		carB		7.04079e+06	7.03672e+06	7.19595e+06	7.09798e+06	7.20565e+06	7.17207e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				2.84862e+06	2.83263e+06	1.66523e+06	2.67563e+06	1.73928e+06	790353
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				2.77443e+06	2.82715e+06	196511	2.69007e+06		165479
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				5.21407e+06	5.17624e+06		4.88672e+06		
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				2.88405e+06	2.90072e+06		2.81515e+06		
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				1.06889e+06	1.14035e+06		1.07235e+06		
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				3.96904e+06	4.01001e+06	140539	3.81333e+06	154546	137717
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.2772e+06	1.52743e+06	1.10735e+06	1.4661e+06	832502	886478
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				1.95677e+06	2.03142e+06		2.13351e+06	1.072e+06	
