Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.48557e+06	1.42195e+06	1.48385e+06	498381	519714	462774
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.63516e+06	2.5891e+06	2.38956e+06	653661	816887	810101
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.96633e+06	3.28926e+06	3.17428e+06	1.63586e+06	1.61016e+06	1.36007e+06
P00350	P00350		gnd		3.86596e+07	3.89774e+07	3.90181e+07	3.88549e+07	3.83651e+07	3.88523e+07
P00363	P00363		frdA		2.46673e+07	2.44104e+07	2.44239e+07	2.47129e+07	2.47643e+07	2.47296e+07
P00370	P00370		gdhA		2.199e+06	2.25011e+06	2.17582e+06	2.37398e+06	2.35606e+06	2.40227e+06
P00393	P00393		ndh		5.32694e+06	5.36933e+06	5.34018e+06	5.33217e+06	5.35128e+06	5.11397e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.48457e+06	1.63902e+06	1.7034e+06	1.06473e+06	544274	1.10251e+06
P00448	P00448		sodA		3.54372e+06	3.59366e+06	3.4762e+06	3.58438e+06	3.53688e+06	3.68348e+06
P00452	P00452		nrdA		9.75883e+06	9.71203e+06	9.73007e+06	9.87042e+06	9.76716e+06	9.82312e+06
P00490	P00490		malP		5.99743e+06	6.05627e+06	5.90693e+06	5.97634e+06	5.861e+06	5.7587e+06
P00509	P00509		aspC		1.96222e+07	1.94794e+07	1.944e+07	1.93559e+07	1.93038e+07	1.88656e+07
P00547	P00547		thrB		847693	776535	896700	1.06181e+06	1.00351e+06	1.01402e+06
P00550	P00550		mtlA		1.40431e+06	1.45269e+06	1.45736e+06	1.46953e+06	1.49155e+06	1.49758e+06
P00561	P00561		thrA		3.20731e+06	3.293e+06	3.34148e+06	3.31454e+06	3.28912e+06	3.41011e+06
P00562	P00562		metL		3.11633e+06	2.98321e+06	3.16616e+06	2.97931e+06	3.01416e+06	3.00116e+06
P00579	P00579		rpoD		8.68828e+06	8.55916e+06	8.52354e+06	8.79171e+06	8.87283e+06	9.24906e+06
