Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.40588e+06	1.34309e+06	1.40627e+06	892687	724649	745452
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.44622e+06	2.49532e+06	2.21686e+06	1.60144e+06	1.74253e+06	1.48693e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.0782e+06	3.17283e+06	3.41234e+06	2.11666e+06	2.12712e+06	1.98404e+06
P00350	P00350		gnd		3.7496e+07	3.73062e+07	3.72794e+07	3.76341e+07	3.74497e+07	3.6717e+07
P00363	P00363		frdA		4.99413e+07	4.99402e+07	4.99605e+07	5.08025e+07	5.16231e+07	5.02278e+07
P00370	P00370		gdhA		1.92035e+06	1.94593e+06	1.89042e+06	2.02088e+06	2.01211e+06	1.98115e+06
P00393	P00393		ndh		5.40601e+06	5.50981e+06	5.46779e+06	5.40822e+06	5.25902e+06	5.42655e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.14565e+06	2.09104e+06	2.09767e+06	1.49388e+06	1.38264e+06	1.38646e+06
P00448	P00448		sodA		3.47297e+06	3.50109e+06	3.43929e+06	3.57592e+06	3.10365e+06	3.33918e+06
P00452	P00452		nrdA		9.38515e+06	9.51374e+06	9.47133e+06	9.69918e+06	9.57061e+06	9.69307e+06
P00490	P00490		malP		6.02263e+06	5.91387e+06	5.88671e+06	5.9372e+06	5.65812e+06	5.83504e+06
P00509	P00509		aspC		1.95217e+07	1.8815e+07	1.89199e+07	1.89734e+07	1.91064e+07	1.87937e+07
P00547	P00547		thrB		786609	698273	833991	944141	1.04582e+06	974647
P00550	P00550		mtlA		1.41586e+06	1.42018e+06	1.52919e+06	1.47643e+06	1.43549e+06	1.54137e+06
P00561	P00561		thrA		3.13756e+06	3.2104e+06	3.222e+06	3.27532e+06	3.37576e+06	3.40289e+06
P00562	P00562		metL		3.04981e+06	2.91959e+06	3.06623e+06	2.98977e+06	3.04636e+06	2.92796e+06
P00579	P00579		rpoD		8.80836e+06	8.6294e+06	8.48127e+06	8.69738e+06	8.77763e+06	8.62327e+06
P00582	P00582		polA		3.59681e+06	3.54165e+06	3.48752e+06	3.47295e+06	3.52419e+06	3.56716e+06
P00803	P00803		lepB		5.1341e+06	5.04023e+06	4.92039e+06	5.50592e+06	4.71122e+06	4.9015e+06
P00805	P00805		ansB		1.18751e+07	1.23465e+07	1.20719e+07	1.1962e+07	1.1934e+07	1.2241e+07
P00811	P00811		ampC		1.49394e+06	1.548e+06	1.54254e+06	1.49793e+06	1.45566e+06	1.52438e+06
P00861	P00861		lysA		597819	672525	770448	862405	863703	717687
P00864	P00864		ppc		1.1406e+07	1.13056e+07	1.12301e+07	1.15633e+07	1.15878e+07	1.14921e+07
P00887	P00887		aroH		1.60777e+06	1.70175e+06	1.59097e+06	1.46596e+06	1.60244e+06	1.54572e+06
P00888	P00888		aroF		2.07354e+06	2.05719e+06	2.0165e+06	2.06391e+06	2.15825e+06	2.11094e+06
P00892	P00892		ilvG		1.0431e+06	1.1097e+06	867235	806298	1.03266e+06	909487
P00914	P00914		phrB		1.14703e+06	1.05654e+06	997635	912776	967238	932256
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				9.22825e+06	8.72028e+06	8.93186e+06	6.70069e+06	6.29804e+06	6.5582e+06
