Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1	DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1				3.29744e+06	3.40965e+06	3.15287e+06	3.08584e+06	2.95227e+06	2.22649e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				3.72324e+06	3.7054e+06	3.31317e+06	3.39778e+06	3.52e+06	4.54246e+06
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				1.08147e+06	963025	1.012e+06	1.02731e+06	786810	804472
DECOY_sp|P0ABK5|CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	DECOY_sp|P0ABK5|CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2				598697	373886	443107	642485	532248	402898
DECOY_sp|P0ABU9|TOLQ_ECOLI Protein TolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1	DECOY_sp|P0ABU9|TOLQ_ECOLI Protein TolQ OS=Escherichia coli (strain K12) GN=tolQ PE=1 SV=1				245986	210402	268781	187570	239764	
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				1.82192e+06	2.05785e+06	2.0176e+06	1.56753e+06	1.76521e+06	1.50935e+06
DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1						1.17096e+06	1.21824e+06	1.24697e+06	1.19337e+06
DECOY_sp|P0AG82|PSTS_ECOLI Phosphate-binding protein PstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1	DECOY_sp|P0AG82|PSTS_ECOLI Phosphate-binding protein PstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1				6.70473e+06	6.71433e+06	6.75681e+06	6.49199e+06	6.46542e+06	
DECOY_sp|P0AGF6|TDCB_ECOLI L-threonine dehydratase catabolic TdcB OS=Escherichia coli (strain K12) GN=tdcB PE=1 SV=1	DECOY_sp|P0AGF6|TDCB_ECOLI L-threonine dehydratase catabolic TdcB OS=Escherichia coli (strain K12) GN=tdcB PE=1 SV=1				173475	195663	173453	166210	218731	107649
DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1	DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1				4.7448e+06	4.80669e+06	4.48139e+06	4.01677e+06	4.27612e+06	5.13247e+06
DECOY_sp|P16429|HYCC_ECOLI Formate hydrogenlyase subunit 3 OS=Escherichia coli (strain K12) GN=hycC PE=3 SV=2	DECOY_sp|P16429|HYCC_ECOLI Formate hydrogenlyase subunit 3 OS=Escherichia coli (strain K12) GN=hycC PE=3 SV=2							188018	323545	
