Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.30146e+07	2.32861e+07	1.99645e+07	2.31659e+07	2.24075e+07	2.77017e+07
DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1	DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1				240887	270076	308726	315454	230386	374611
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				1.91832e+06	2.1029e+06	2.13092e+06	2.11527e+06	2.13388e+06	1.55825e+06
DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1	DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1				791817	689499	781803	691186	760200	
DECOY_sp|P0C0T5|MEPA_ECOLI Penicillin-insensitive murein endopeptidase OS=Escherichia coli (strain K12) GN=mepA PE=1 SV=1	DECOY_sp|P0C0T5|MEPA_ECOLI Penicillin-insensitive murein endopeptidase OS=Escherichia coli (strain K12) GN=mepA PE=1 SV=1				2.33208e+06	2.4643e+06	2.37235e+06	2.47047e+06	2.04715e+06	1.8446e+06
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2					1.74118e+06				
DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3	DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3				951513	949487	971164	883896	948569	940253
DECOY_sp|P76115|YNCD_ECOLI Probable TonB-dependent receptor YncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1	DECOY_sp|P76115|YNCD_ECOLI Probable TonB-dependent receptor YncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1				2.71444e+06			2.14512e+06		597354
DECOY_sp|P76344|ZINT_ECOLI Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1	DECOY_sp|P76344|ZINT_ECOLI Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1				7.62367e+06	7.45066e+06	7.21702e+06	7.3172e+06	7.18398e+06	8.11368e+06
DECOY_sp|P76473|ARNT_ECOLI Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain K12) GN=arnT PE=1 SV=1	DECOY_sp|P76473|ARNT_ECOLI Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase OS=Escherichia coli (strain K12) GN=arnT PE=1 SV=1				3.16068e+06	3.09055e+06	3.1673e+06	3.43879e+06	3.24334e+06	2.96875e+06
