Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
DECOY_sp|P07026|SDIA_ECOLI Regulatory protein SdiA OS=Escherichia coli (strain K12) GN=sdiA PE=1 SV=2	DECOY_sp|P07026|SDIA_ECOLI Regulatory protein SdiA OS=Escherichia coli (strain K12) GN=sdiA PE=1 SV=2					1.18363e+06	1.3612e+06	1.37131e+06	1.06825e+06	
DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1	DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1				2.478e+06	3.19636e+06	3.15929e+06	2.75237e+06		2.9917e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				3.87681e+06	3.33735e+06	3.416e+06	3.80954e+06	3.62312e+06	3.51552e+06
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				726860	680780	668141	792051	792143	571778
DECOY_sp|P0ABK5|CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2	DECOY_sp|P0ABK5|CYSK_ECOLI Cysteine synthase A OS=Escherichia coli (strain K12) GN=cysK PE=1 SV=2				3.9545e+06	5.03682e+06	4.37256e+06	4.66792e+06	2.77568e+06	2.5593e+06
DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1				643349		708079		630996	810304
DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1	DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1				508153			414132		
DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1							1.30765e+06		1.3654e+06
DECOY_sp|P0AG82|PSTS_ECOLI Phosphate-binding protein PstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1	DECOY_sp|P0AG82|PSTS_ECOLI Phosphate-binding protein PstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1				2.66274e+06	2.80158e+06	2.76854e+06	3.06374e+06	2.44125e+06	2.47916e+06
DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1	DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1				4.21258e+06	4.39574e+06	3.97689e+06	4.10497e+06	4.78543e+06	4.21334e+06
