Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.81138e+06	3.26071e+06	2.89874e+06	3.36487e+06	3.7969e+06	3.74178e+06
DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1	DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1				286549	246976	250179	313684	328820	239868
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1				935862					
DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1	DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1				738225	914394	661144	796619	726879	852771
DECOY_sp|P0AEC5|BARA_ECOLI Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1	DECOY_sp|P0AEC5|BARA_ECOLI Signal transduction histidine-protein kinase BarA OS=Escherichia coli (strain K12) GN=barA PE=1 SV=1				6.01794e+06	6.08475e+06	6.0082e+06	5.98424e+06	6.41132e+06	6.1247e+06
DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2	DECOY_sp|P25549|ASLA_ECOLI Arylsulfatase OS=Escherichia coli (strain K12) GN=aslA PE=3 SV=2				1.68909e+06	1.8095e+06	1.68795e+06	1.29669e+06	1.41325e+06	1.32677e+06
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2						1.35034e+06			
DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2	DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2				1.03338e+06	1.16103e+06		1.08932e+06	1.18842e+06	1.21333e+06
DECOY_sp|P76344|ZINT_ECOLI Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1	DECOY_sp|P76344|ZINT_ECOLI Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1				6.31868e+06	6.70154e+06	6.36738e+06	7.39968e+06	7.30579e+06	7.18177e+06
DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1	DECOY_sp|P77425|ALLC_ECOLI Allantoate amidohydrolase OS=Escherichia coli (strain K12) GN=allC PE=1 SV=1				1.11307e+06	1.15487e+06	974254	1.11181e+06	1.02445e+06	1.19847e+06
