Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.38932e+07	2.18772e+07	2.32392e+07	2.29256e+07	2.29219e+07	2.21446e+07
DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1	DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1				250602	286836	314628	232779	265747	253414
DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1	DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1				401499				366901	293623
DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1	DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1				712824	756189	755750	772222	754604	
DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1							1.27682e+06	1.25975e+06	
DECOY_sp|P27238|YFED_ECOLI Uncharacterized protein YfeD OS=Escherichia coli (strain K12) GN=yfeD PE=4 SV=3	DECOY_sp|P27238|YFED_ECOLI Uncharacterized protein YfeD OS=Escherichia coli (strain K12) GN=yfeD PE=4 SV=3				520582	374182	589406	600717	589544	422607
DECOY_sp|P33235|FLGK_ECOLI Flagellar hook-associated protein 1 OS=Escherichia coli (strain K12) GN=flgK PE=3 SV=3	DECOY_sp|P33235|FLGK_ECOLI Flagellar hook-associated protein 1 OS=Escherichia coli (strain K12) GN=flgK PE=3 SV=3				1.86266e+06	1.76942e+06	1.70293e+06			
DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2	DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2				1.15908e+06	1.16589e+06	1.18714e+06	1.25592e+06	1.16313e+06	1.29286e+06
DECOY_sp|P60785|LEPA_ECOLI Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	DECOY_sp|P60785|LEPA_ECOLI Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1				2.50347e+06	502089	2.93572e+06	2.66227e+06		1.82147e+06
DECOY_sp|P76344|ZINT_ECOLI Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1	DECOY_sp|P76344|ZINT_ECOLI Metal-binding protein ZinT OS=Escherichia coli (strain K12) GN=zinT PE=1 SV=1				6.99389e+06	7.44829e+06	7.36983e+06	7.14303e+06	7.32266e+06	6.91393e+06
