Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1	DECOY_sp|P0A823|SFSA_ECOLI Sugar fermentation stimulation protein A OS=Escherichia coli (strain K12) GN=sfsA PE=1 SV=1				3.10552e+06	3.04852e+06	3.08758e+06	2.69972e+06	3.09996e+06	2.9083e+06
DECOY_sp|P0A9P0|DLDH_ECOLI Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	DECOY_sp|P0A9P0|DLDH_ECOLI Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2					939288	985707	872276	994879	851336
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				3.35256e+06	3.33387e+06	3.53085e+06	3.72834e+06	3.67351e+06	3.44392e+06
DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1	DECOY_sp|P0AAN3|HYPB_ECOLI Hydrogenase isoenzymes nickel incorporation protein HypB OS=Escherichia coli (strain K12) GN=hypB PE=1 SV=1				985537	1.00875e+06	1.03486e+06	840496	992066	764267
DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1	DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1				281376	266116	303581	320026	232629	268831
DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1				604529	577250		451253	530951	649469
DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1	DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1				804801	766257	810832	723152	791097	759708
DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1	DECOY_sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) GN=tufB PE=1 SV=1				4.4107e+06	3.95892e+06	4.61256e+06	4.78668e+06	4.31735e+06	4.10926e+06
DECOY_sp|P36881|YADI_ECOLI Putative phosphotransferase enzyme IIA component YadI OS=Escherichia coli (strain K12) GN=yadI PE=3 SV=2	DECOY_sp|P36881|YADI_ECOLI Putative phosphotransferase enzyme IIA component YadI OS=Escherichia coli (strain K12) GN=yadI PE=3 SV=2				1.57529e+06	522027	1.46528e+06	1.09016e+06	577408	1.50147e+06
DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2	DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2				1.13474e+06			1.121e+06	1.17186e+06	998537
DECOY_sp|P43341|LPXH_ECOLI UDP-2,3-diacylglucosamine hydrolase OS=Escherichia coli (strain K12) GN=lpxH PE=1 SV=2	DECOY_sp|P43341|LPXH_ECOLI UDP-2,3-diacylglucosamine hydrolase OS=Escherichia coli (strain K12) GN=lpxH PE=1 SV=2					990798	854879	938205	1.0404e+06	927662
DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3	DECOY_sp|P52143|YPJA_ECOLI Uncharacterized outer membrane protein YpjA OS=Escherichia coli (strain K12) GN=ypjA PE=4 SV=3				820705	817414	877224	763044	867446	814175
DECOY_sp|P60240|RAPA_ECOLI RNA polymerase-associated protein RapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	DECOY_sp|P60240|RAPA_ECOLI RNA polymerase-associated protein RapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2				770845	575273	783069	657585	771274	552755
DECOY_sp|P60390|RSMH_ECOLI Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1	DECOY_sp|P60390|RSMH_ECOLI Ribosomal RNA small subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rsmH PE=1 SV=1				4.48876e+06	4.42388e+06	4.42425e+06	4.37991e+06	4.36303e+06	4.57496e+06
DECOY_sp|P60785|LEPA_ECOLI Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	DECOY_sp|P60785|LEPA_ECOLI Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1				1.78915e+06	2.54893e+06	508003	3.06923e+06	2.70002e+06	3.39567e+06
DECOY_sp|P64604|MLAD_ECOLI Probable phospholipid ABC transporter-binding protein MlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1	DECOY_sp|P64604|MLAD_ECOLI Probable phospholipid ABC transporter-binding protein MlaD OS=Escherichia coli (strain K12) GN=mlaD PE=1 SV=1				501514	500682	477478	552917	368247	511341
