Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P07026|SDIA_ECOLI Regulatory protein SdiA OS=Escherichia coli (strain K12) GN=sdiA PE=1 SV=2	DECOY_sp|P07026|SDIA_ECOLI Regulatory protein SdiA OS=Escherichia coli (strain K12) GN=sdiA PE=1 SV=2				1.37232e+06			3.9295e+06		1.23094e+06
DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1				1.30134e+06	1.28144e+06	1.30263e+06	1.24357e+06		1.20102e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.32224e+07	1.2254e+07	1.26523e+07	1.204e+07	1.23705e+07	1.15529e+07
DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1	DECOY_sp|P0ABZ1|FLIG_ECOLI Flagellar motor switch protein FliG OS=Escherichia coli (strain K12) GN=fliG PE=1 SV=1				429984		459529		493470	
DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1	DECOY_sp|P0ACP1|CRA_ECOLI Catabolite repressor/activator OS=Escherichia coli (strain K12) GN=cra PE=1 SV=1				410970	465331	371000		415784	495792
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1					1.65064e+06				1.75103e+06
DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1	DECOY_sp|P0ADX9|RSMD_ECOLI Ribosomal RNA small subunit methyltransferase D OS=Escherichia coli (strain K12) GN=rsmD PE=1 SV=1				4.29228e+06	5.17846e+06	4.80587e+06	4.75274e+06	4.5513e+06	5.27802e+06
DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1	DECOY_sp|P0AEH1|RSEP_ECOLI Regulator of sigma E protease OS=Escherichia coli (strain K12) GN=rseP PE=1 SV=1				951245	1.05046e+06	923503	785620	1.01189e+06	768444
DECOY_sp|P0AG82|PSTS_ECOLI Phosphate-binding protein PstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1	DECOY_sp|P0AG82|PSTS_ECOLI Phosphate-binding protein PstS OS=Escherichia coli (strain K12) GN=pstS PE=1 SV=1				2.61995e+06	3.24531e+06	2.82834e+06	3.29722e+06	2.35011e+06	4.08436e+06
DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3				3.8618e+06	2.23665e+06	3.95815e+06	2.48004e+06	3.52836e+06	2.56066e+06
