Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1	DECOY_sp|P08997|MASY_ECOLI Malate synthase A OS=Escherichia coli (strain K12) GN=aceB PE=1 SV=1				3.13256e+06	3.02908e+06	3.21086e+06	2.93751e+06	2.863e+06	3.02904e+06
DECOY_sp|P0A9P0|DLDH_ECOLI Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2	DECOY_sp|P0A9P0|DLDH_ECOLI Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) GN=lpdA PE=1 SV=2				832003	922253	727770	861927	1.01894e+06	855969
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.10071e+07	2.20028e+07	2.26833e+07	2.20682e+07	2.12507e+07	2.02743e+07
DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1	DECOY_sp|P0ABU0|MENB_ECOLI 1,4-Dihydroxy-2-naphthoyl-CoA synthase OS=Escherichia coli (strain K12) GN=menB PE=1 SV=1				273946	276971	291765	219056	242221	264275
DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1	DECOY_sp|P0ADX5|YHFG_ECOLI Uncharacterized protein YhfG OS=Escherichia coli (strain K12) GN=yhfG PE=4 SV=1					1.65801e+06				1.77745e+06
DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1	DECOY_sp|P0AE72|MAZE_ECOLI Antitoxin MazE OS=Escherichia coli (strain K12) GN=mazE PE=1 SV=1				1.1202e+06	722694		667770	702933	900113
DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3	DECOY_sp|P21151|FADA_ECOLI 3-ketoacyl-CoA thiolase OS=Escherichia coli (strain K12) GN=fadA PE=1 SV=3				3.53961e+06	2.27305e+06	3.21719e+06	3.69208e+06	2.46328e+06	2.54624e+06
DECOY_sp|P32132|TYPA_ECOLI GTP-binding protein TypA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2	DECOY_sp|P32132|TYPA_ECOLI GTP-binding protein TypA/BipA OS=Escherichia coli (strain K12) GN=typA PE=1 SV=2								168562	683361
DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2	DECOY_sp|P39356|YJHU_ECOLI Uncharacterized transcriptional regulator YjhU OS=Escherichia coli (strain K12) GN=yjhU PE=3 SV=2						1.13492e+06	1.15789e+06	1.34508e+06	
DECOY_sp|P45423|YHCG_ECOLI Uncharacterized protein YhcG OS=Escherichia coli (strain K12) GN=yhcG PE=4 SV=1	DECOY_sp|P45423|YHCG_ECOLI Uncharacterized protein YhcG OS=Escherichia coli (strain K12) GN=yhcG PE=4 SV=1				506556	373639	606996	580276	438892	493975
