Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.71933e+06	2.72851e+06	743716	683047	717378	2.42965e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				5.90109e+06	6.03502e+06	1.81085e+06	2.08187e+06	1.81667e+06	5.45497e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.26098e+06	4.37147e+06	1.30516e+06	1.55498e+06	1.4503e+06	3.98056e+06
P00350	P00350		gnd		3.51398e+07	3.52167e+07	3.48244e+07	3.4703e+07	3.44105e+07	3.52771e+07
P00363	P00363		frdA		4.85563e+07	4.8881e+07	4.82556e+07	4.89071e+07	4.82019e+07	4.65442e+07
P00370	P00370		gdhA		1.9909e+06	1.89286e+06	1.87772e+06	1.84931e+06	1.93443e+06	1.97482e+06
P00393	P00393		ndh		5.3534e+06	5.42631e+06	5.26167e+06	5.22917e+06	5.31567e+06	5.26063e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.94755e+06	2.03807e+06	657466	605593	727546	1.52907e+06
P00448	P00448		sodA		3.77717e+06	3.74517e+06	3.69743e+06	3.57132e+06	3.53259e+06	3.55716e+06
P00452	P00452		nrdA		9.86469e+06	9.82348e+06	9.84088e+06	9.70674e+06	9.7545e+06	9.64218e+06
P00490	P00490		malP		5.49812e+06	5.51778e+06	5.60383e+06	5.46473e+06	5.56774e+06	5.43929e+06
P00509	P00509		aspC		1.91413e+07	1.90848e+07	1.8977e+07	1.8686e+07	1.89482e+07	1.84313e+07
P00547	P00547		thrB		1.54071e+06	1.59086e+06	1.64155e+06	1.76864e+06	1.6118e+06	1.41317e+06
P00550	P00550		mtlA		1.82734e+06	1.83975e+06	1.78302e+06	1.80472e+06	1.80761e+06	1.61929e+06
P00561	P00561		thrA		2.40153e+06	2.41816e+06	2.59933e+06	2.65683e+06	2.53994e+06	2.54478e+06
P00562	P00562		metL		2.95096e+06	2.98183e+06	2.84499e+06	2.90365e+06	2.77395e+06	3.0603e+06
P00579	P00579		rpoD		8.152e+06	8.29041e+06	8.4755e+06	8.19944e+06	8.27107e+06	8.10436e+06
P00582	P00582		polA		3.39906e+06	3.33876e+06	3.3435e+06	3.27765e+06	3.4264e+06	3.25291e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				1.24973e+06	1.18248e+06	533582	512853	636668	765553
P00803	P00803		lepB		4.19366e+06	4.23219e+06	4.63602e+06	4.27689e+06	4.08609e+06	4.36808e+06
P00805	P00805		ansB		1.19262e+07	1.19875e+07	1.24714e+07	1.26341e+07	1.25166e+07	1.05137e+07
P00811	P00811		ampC		941271	886088	893184	981185	939892	798358
P00864	P00864		ppc		1.13352e+07	1.13902e+07	1.12691e+07	1.12569e+07	1.1214e+07	1.09163e+07
P00887	P00887		aroH		3.09166e+06	2.86798e+06	2.67335e+06	2.73379e+06	2.729e+06	3.40065e+06
P00888	P00888		aroF		1.87888e+06	1.86181e+06	1.85704e+06	1.87635e+06	1.78365e+06	1.70974e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.18905e+07	1.22966e+07	4.75426e+06	4.19703e+06	4.10518e+06	1.13196e+07
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5.02324e+06	5.16691e+06	1.43853e+06	1.47828e+06	1.42834e+06	5.10428e+06
P00926	P00926		dsdA		1.33656e+06	1.41271e+06	1.30122e+06	1.22941e+06	1.30127e+06	1.13238e+06
P00934	P00934		thrC		4.46287e+06	4.40446e+06	4.31316e+06	4.24162e+06	4.26839e+06	4.37049e+06
P00946	P00946		manA		1.09595e+07	1.1084e+07	1.15117e+07	1.1179e+07	1.12019e+07	1.11349e+07
P00954	P00954		trpS		1.43381e+07	1.36727e+07	1.37488e+07	1.34266e+07	1.34773e+07	1.3646e+07
P00956	P00956		ileS		2.64427e+07	2.63255e+07	2.603e+07	2.6634e+07	2.61824e+07	2.47103e+07
P00957	P00957		alaS		1.63068e+07	1.61165e+07	1.58398e+07	1.55943e+07	1.57871e+07	1.43865e+07
P00959	P00959		metG		1.81814e+07	1.8237e+07	1.78659e+07	1.7913e+07	1.77823e+07	1.72569e+07
P00960	P00960		glyQ		4.94458e+06	5.04291e+06	4.68678e+06	4.63226e+06	4.80123e+06	5.17642e+06
P00961	P00961		glyS		1.14155e+07	1.133e+07	1.12879e+07	1.1351e+07	1.12621e+07	1.06933e+07
P00962	P00962		glnS		1.06676e+07	1.07087e+07	1.06014e+07	1.0522e+07	1.06611e+07	9.69958e+06
P00963	P00963		asnA		1.77715e+07	1.77655e+07	1.7352e+07	1.73717e+07	1.73862e+07	1.62789e+07
P00968	P00968		carB		4.2666e+06	4.25164e+06	4.27262e+06	4.26734e+06	4.31431e+06	4.45247e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				5.36981e+06	5.22926e+06	1.59676e+06	1.64547e+06	1.524e+06	5.01998e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.58918e+06	5.39349e+06	1.55445e+06	1.51699e+06	1.42972e+06	5.38001e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				1.17262e+07	1.22959e+07	3.5766e+06	4.85962e+06	3.98546e+06	1.13743e+07
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5.66362e+06	5.54635e+06	1.55261e+06	1.59641e+06	1.46942e+06	5.73481e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				4.88321e+06	4.82777e+06	1.80124e+06	1.79128e+06	1.95695e+06	5.24464e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				6.95145e+06	6.98842e+06	1.80007e+06	1.79166e+06	1.82614e+06	7.40172e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.45324e+06	1.52601e+06	342592	359466	389950	1.50302e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				6.04427e+06	5.90933e+06	1.63479e+06	1.6569e+06	1.6697e+06	5.87658e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				5.29684e+06	5.69682e+06	1.27172e+06	1.30655e+06	1.31074e+06	5.25715e+06
P02358	P02358		rpsF		1.19325e+08	1.15787e+08	1.15232e+08	1.19026e+08	1.22432e+08	8.59256e+07
P02359	P02359		rpsG		1.16571e+08	1.17495e+08	1.1576e+08	1.14743e+08	1.13644e+08	1.10259e+08
P02413	P02413		rplO		1.2115e+08	1.20225e+08	1.22836e+08	1.2243e+08	1.2135e+08	1.09399e+08
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				918953	817161	473377	487483	443008	871118
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				2.59711e+07	2.58476e+07	7.26177e+06	7.47544e+06	7.35608e+06	2.62558e+07
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				9.0484e+06	8.95602e+06	2.71088e+06	2.61457e+06	2.65282e+06	8.43289e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				5.81132e+06	5.83179e+06	1.78933e+06	1.73024e+06	1.81461e+06	6.13603e+06
P02918	P02918		mrcA		915773	948452	769947	1.1827e+06	1.21077e+06	947178
P02919	P02919		mrcB		1.7054e+06	1.53508e+06	1.66034e+06	1.68998e+06	1.71371e+06	1.66337e+06
P02925	P02925		rbsB		1.21002e+07	1.22538e+07	1.23305e+07	1.22988e+07	1.24877e+07	1.22703e+07
P02930	P02930		tolC		2.08236e+07	2.10736e+07	2.16682e+07	2.10307e+07	2.1873e+07	2.14548e+07
P02931	P02931		ompF		2.04773e+07	2.08448e+07	2.09235e+07	2.08646e+07	2.10076e+07	2.19986e+07
P02942	P02942		tsr		1.44828e+07	1.42389e+07	1.40907e+07	1.42094e+07	1.41567e+07	1.3619e+07
P02943	P02943		lamB		1.52919e+06	1.56632e+06	1.52225e+06	1.54173e+06	1.48682e+06	1.52345e+06
P03004	P03004		dnaA		1.94608e+06	1.95192e+06	2.0887e+06	2.08625e+06	1.97586e+06	1.98994e+06
P03018	P03018		uvrD		1.7754e+06	1.85461e+06	1.70974e+06	1.74845e+06	1.70904e+06	2.1527e+06
P03817	P03817		mioC		8.82569e+06	9.17706e+06	9.69649e+06	9.45754e+06	9.42408e+06	8.51069e+06
P03841	P03841		malM		9.66302e+06	9.85846e+06	1.01522e+07	1.00581e+07	1.07676e+07	9.17063e+06
P04036	P04036		dapB		4.97258e+06	4.95014e+06	5.24795e+06	5.00931e+06	5.06283e+06	4.67389e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				1.3304e+06	1.33868e+06	588657	551933	488990	1.3114e+06
P04079	P04079		guaA		1.97156e+07	1.98191e+07	1.96968e+07	2.01789e+07	1.97328e+07	1.86505e+07
P04335	P04335		frsA		4.38298e+06	4.58626e+06	4.39968e+06	4.63073e+06	4.5183e+06	4.0971e+06
P04425	P04425		gshB		1.41134e+07	1.40917e+07	1.43319e+07	1.43618e+07	1.43802e+07	1.37869e+07
P04693	P04693		tyrB		3.78141e+06	3.74974e+06	3.89407e+06	3.97963e+06	3.92475e+06	4.18541e+06
P04805	P04805		gltX		2.45807e+07	2.48781e+07	2.48697e+07	2.46205e+07	2.45759e+07	2.51737e+07
P04825	P04825		pepN		1.58352e+07	1.59892e+07	1.58487e+07	1.5737e+07	1.54789e+07	1.43689e+07
P04846	P04846		nlpA		2.99774e+06	3.09082e+06	3.124e+06	3.07644e+06	3.28086e+06	3.19376e+06
P04949	P04949		fliC		3.62233e+07	3.66838e+07	4.06304e+07	3.88897e+07	4.17589e+07	3.31949e+07
P04951	P04951		kdsB		5.62279e+06	5.44749e+06	5.60999e+06	5.49705e+06	5.68757e+06	5.92737e+06
P04982	P04982		rbsD		1.11417e+06	1.17094e+06	1.13897e+06	1.04841e+06	1.25632e+06	1.03091e+06
P04995	P04995		sbcB		1.20872e+07	1.21774e+07	1.22406e+07	1.20453e+07	1.22706e+07	1.18364e+07
P05020	P05020		pyrC		6.68335e+06	6.56005e+06	6.41849e+06	6.58673e+06	6.33361e+06	6.32812e+06
P05041	P05041		pabB		1.47372e+06	1.74873e+06	1.84705e+06	1.47471e+06	1.70347e+06	1.89282e+06
P05055	P05055		pnp		3.70383e+07	3.7197e+07	3.7422e+07	3.71313e+07	3.67885e+07	3.42964e+07
P05100	P05100		tag		1.56351e+06	1.69265e+06	1.53115e+06	1.42174e+06	1.56327e+06	1.51595e+06
P05194	P05194		aroD		1.14455e+06	1.18602e+06	1.20139e+06	1.13208e+06	1.03551e+06	1.15051e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				6.12006e+06	6.28252e+06	2.10615e+06	2.09458e+06	1.87463e+06	5.80443e+06
P05458	P05458		ptrA		840860	814853	800316	840813	830915	925725
P05459	P05459		pdxB		6.06203e+06	6.04814e+06	6.17141e+06	6.02878e+06	6.13726e+06	5.76129e+06
P05637	P05637		apaH		1.40529e+06	1.47843e+06	1.53809e+06	1.66484e+06	1.6727e+06	1.38051e+06
P05719	P05719		hsdS		923955	944972	1.03556e+06	1.08335e+06	934011	996584
P05791	P05791		ilvD		2.84063e+06	2.90709e+06	2.8706e+06	2.66878e+06	2.83627e+06	3.05035e+06
P05793	P05793		ilvC		6.69721e+06	6.52803e+06	6.3933e+06	6.65217e+06	6.57558e+06	6.0013e+06
P05825	P05825		fepA		1.96745e+06	1.97249e+06	2.07721e+06	1.98509e+06	2.0003e+06	1.86927e+06
P05852	P05852		gcp		2.7338e+06	2.76023e+06	2.64619e+06	2.73984e+06	2.70039e+06	3.00177e+06
P06129	P06129		btuB		1.53951e+07	1.5229e+07	1.52975e+07	1.47575e+07	1.46511e+07	1.4516e+07
P06149	P06149		dld		7.14963e+06	6.98014e+06	6.82361e+06	6.54363e+06	6.7539e+06	5.49152e+06
P06282	P06282		cdh		913172	951048	962822	944083	908162	983948
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				1.86621e+06	1.91403e+06	607921	655490	562190	1.94435e+06
P06610	P06610		btuE		8.55818e+06	8.74712e+06	8.85573e+06	9.00126e+06	8.25874e+06	7.93084e+06
P06612	P06612		topA		5.85369e+06	5.58442e+06	5.82444e+06	5.4597e+06	5.67538e+06	5.94872e+06
P06616	P06616		era		3.85967e+06	3.87606e+06	3.97396e+06	3.7149e+06	3.79483e+06	3.40492e+06
P06709	P06709		birA		3.8551e+06	3.95276e+06	3.93051e+06	4.14016e+06	3.98163e+06	4.18572e+06
P06710	P06710		dnaX		1.08697e+06	1.10226e+06	1.07317e+06	1.09408e+06	1.18696e+06	1.0561e+06
P06715	P06715		gor		4.58909e+06	4.70736e+06	4.43912e+06	4.53932e+06	4.56317e+06	4.49984e+06
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				3.74721e+06	3.86265e+06	1.12155e+06	1.08783e+06	1.00441e+06	4.06767e+06
P06846	P06846		ebgR		1.45058e+06	1.44111e+06	1.44544e+06	1.22206e+06	1.29885e+06	1.32251e+06
P06959	P06959		aceF		6.61659e+07	6.54309e+07	6.54291e+07	6.53577e+07	6.48035e+07	6.08279e+07
P06961	P06961		cca		1.12942e+06	1.11106e+06	1.09379e+06	1.1204e+06	1.11571e+06	1.21427e+06
P06966	P06966		dicA		3.51808e+06	3.5493e+06	3.14212e+06	3.10112e+06	3.51413e+06	3.42007e+06
P06968	P06968		dut		8.16232e+06	7.97319e+06	8.21783e+06	8.18616e+06	8.16225e+06	7.91802e+06
P06971	P06971		fhuA		1.34534e+07	1.3467e+07	1.34474e+07	1.34735e+07	1.33112e+07	1.3065e+07
P06974	P06974		fliM		1.50946e+06	1.45261e+06	1.41684e+06	1.5352e+06	1.50315e+06	1.31039e+06
P06983	P06983		hemC		1.00647e+07	1.0302e+07	1.0414e+07	1.05024e+07	1.05987e+07	9.1901e+06
P06986	P06986		hisC		3.0308e+06	3.18879e+06	3.10678e+06	2.96652e+06	2.96102e+06	3.16969e+06
P06987	P06987		hisB		1.14877e+06	1.12935e+06	1.1265e+06	1.18506e+06	1.17596e+06	1.11444e+06
P06988	P06988		hisD		2.87316e+06	3.02126e+06	2.98692e+06	3.22463e+06	3.39021e+06	2.42922e+06
P06992	P06992		rsmA		2.08578e+06	2.16085e+06	2.09804e+06	1.95049e+06	2.04054e+06	2.18729e+06
P06996	P06996		ompC		2.99775e+08	3.01465e+08	2.88361e+08	2.91763e+08	3.01094e+08	2.79173e+08
P06999	P06999		pfkB		1.09535e+06	1.21613e+06	1.16769e+06	1.14345e+06	1.25498e+06	1.30644e+06
P07000	P07000		pldB		505872	511772	555418	553413	492734	513592
P07001	P07001		pntA		3.22579e+06	3.32639e+06	3.33695e+06	2.92683e+06	3.18877e+06	3.23035e+06
P07003	P07003		poxB		2.35826e+06	2.50557e+06	2.33536e+06	2.33659e+06	2.4753e+06	2.41897e+06
P07004	P07004		proA		5.36203e+06	5.1374e+06	5.03707e+06	5.26304e+06	5.1274e+06	5.06758e+06
P07012	P07012		prfB		8.88363e+06	8.77228e+06	8.99885e+06	9.03647e+06	8.92342e+06	8.42812e+06
P07014	P07014		sdhB		1.68193e+06	1.66179e+06	1.65838e+06	1.71475e+06	1.70142e+06	1.62746e+06
P07017	P07017		tar		3.39025e+06	3.51146e+06	3.45899e+06	3.38271e+06	3.38576e+06	3.05632e+06
P07021	P07021		yfiB		876587	787750	751616	823122	869221	775168
P07023	P07023		tyrA		2.42071e+06	2.48432e+06	2.52875e+06	2.42618e+06	2.35095e+06	2.47426e+06
P07024	P07024		ushA		4.70948e+06	4.73236e+06	4.76053e+06	4.66499e+06	4.94429e+06	5.04045e+06
P07026	P07026		sdiA		1.81508e+06	1.84487e+06	1.81329e+06	1.67263e+06	1.74839e+06	1.60944e+06
P07118	P07118		valS		2.28023e+07	2.26738e+07	2.25846e+07	2.29888e+07	2.26722e+07	2.09944e+07
