Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P00350	P00350		gnd		3.56122e+07	3.62902e+07	3.62799e+07	3.63052e+07	3.61474e+07	3.56283e+07
P00363	P00363		frdA		3.0277e+07	3.16558e+07	3.13906e+07	3.07526e+07	3.1568e+07	3.06386e+07
P00370	P00370		gdhA		2.26636e+06	2.27925e+06	2.28335e+06	2.22167e+06	2.31977e+06	2.32648e+06
P00393	P00393		ndh		5.63234e+06	5.6155e+06	5.59428e+06	5.66536e+06	5.48367e+06	5.57016e+06
P00448	P00448		sodA		2.46596e+06	2.57583e+06	2.50223e+06	2.62233e+06	2.55092e+06	2.52291e+06
P00452	P00452		nrdA		3.59694e+07	3.60746e+07	3.6003e+07	3.60552e+07	3.58614e+07	3.60129e+07
P00490	P00490		malP		4.85799e+06	4.75276e+06	4.82093e+06	4.7517e+06	4.75184e+06	4.77424e+06
P00509	P00509		aspC		1.80818e+07	1.79406e+07	1.79578e+07	1.80775e+07	1.79146e+07	1.79927e+07
P00547	P00547		thrB		679393	1.02609e+06	941180	817663	962721	764104
P00550	P00550		mtlA		1.95635e+06	2.18774e+06	2.07235e+06	1.91509e+06	2.08627e+06	2.13645e+06
P00561	P00561		thrA		2.54425e+06	2.47702e+06	2.48242e+06	2.63641e+06	2.57184e+06	2.4402e+06
P00562	P00562		metL		2.78787e+06	2.74326e+06	2.73386e+06	2.80583e+06	2.80968e+06	2.85189e+06
P00579	P00579		rpoD		8.33085e+06	8.68355e+06	8.60992e+06	8.3327e+06	8.69185e+06	8.33253e+06
P00582	P00582		polA		3.40407e+06	3.32691e+06	3.39279e+06	3.35883e+06	3.32003e+06	3.31474e+06
P00803	P00803		lepB		4.12224e+06	4.14291e+06	3.89828e+06	4.22191e+06	4.17199e+06	3.75858e+06
P00805	P00805		ansB		2.03833e+07	2.06214e+07	2.07606e+07	2.0886e+07	2.08956e+07	2.02805e+07
P00811	P00811		ampC		936004	925518	882890	850783	913784	831039
P00864	P00864		ppc		1.07664e+07	1.08548e+07	1.0866e+07	1.07294e+07	1.088e+07	1.06506e+07
P00887	P00887		aroH		1.66202e+06	1.68866e+06	1.74881e+06	1.72519e+06	1.65224e+06	1.63863e+06
P00888	P00888		aroF		1.94507e+06	1.94199e+06	2.01554e+06	1.94339e+06	2.01161e+06	1.91795e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)					313142	332056		269454	
P00926	P00926		dsdA		1.42631e+06	1.2769e+06	1.46197e+06	1.24231e+06	1.39258e+06	1.4364e+06
P00934	P00934		thrC		4.61519e+06	4.36989e+06	4.54001e+06	4.37139e+06	4.24257e+06	4.47462e+06
P00935	P00935		metB		677167	700154	684838	688254	675528	519334
P00936	P00936		cyaA		841519	877112	919359	882127	839755	798818
P00946	P00946		manA		1.10782e+07	1.1008e+07	1.08213e+07	1.11769e+07	1.13498e+07	1.12917e+07
P00954	P00954		trpS		5.08376e+06	5.37929e+06	5.4524e+06	5.12361e+06	5.35967e+06	5.01191e+06
P00956	P00956		ileS		1.89e+07	1.95866e+07	1.94667e+07	1.8954e+07	1.95832e+07	1.90314e+07
P00957	P00957		alaS		1.44627e+07	1.46902e+07	1.46945e+07	1.47081e+07	1.46882e+07	1.42328e+07
P00959	P00959		metG		1.81686e+07	1.84471e+07	1.85873e+07	1.81322e+07	1.85286e+07	1.82235e+07
P00960	P00960		glyQ		4.08358e+06	3.8635e+06	3.88969e+06	4.05418e+06	3.90591e+06	3.97619e+06
P00961	P00961		glyS		1.10271e+07	1.13119e+07	1.12975e+07	1.12126e+07	1.12635e+07	1.12505e+07
P00962	P00962		glnS		1.3716e+07	1.4295e+07	1.40074e+07	1.39004e+07	1.42032e+07	1.37889e+07
P00963	P00963		asnA		2.03435e+07	2.15036e+07	2.1096e+07	2.06274e+07	2.13562e+07	2.03598e+07
P00968	P00968		carB		4.43312e+06	4.47555e+06	4.45864e+06	4.57046e+06	4.44686e+06	4.3889e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)					105448	130342		131186	
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)					796022	828711		701946	
P02358	P02358		rpsF		9.92393e+07	1.07318e+08	1.08107e+08	9.88356e+07	1.07719e+08	9.89704e+07
P02359	P02359		rpsG		1.23193e+08	1.2603e+08	1.256e+08	1.21662e+08	1.25016e+08	1.22036e+08
P02413	P02413		rplO		1.29031e+08	1.27097e+08	1.24884e+08	1.26802e+08	1.25174e+08	1.26314e+08
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)					655970	759674		675873	
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)					621910	600141		566570	
P02918	P02918		mrcA		1.84336e+06	1.71415e+06	1.74933e+06	1.81173e+06	1.77311e+06	1.80938e+06
P02919	P02919		mrcB		1.68525e+06	1.6169e+06	1.7186e+06	1.70837e+06	1.78264e+06	1.75755e+06
P02925	P02925		rbsB		1.27375e+07	1.26125e+07	1.30226e+07	1.28526e+07	1.27918e+07	1.26926e+07
P02930	P02930		tolC		2.37692e+07	2.41162e+07	2.41908e+07	2.46359e+07	2.37348e+07	2.29048e+07
P02931	P02931		ompF		2.20145e+07	2.2063e+07	2.23947e+07	2.25022e+07	2.20789e+07	2.19591e+07
P02942	P02942		tsr		1.00173e+07	1.08328e+07	1.08162e+07	1.03222e+07	1.08132e+07	1.0269e+07
P02943	P02943		lamB		1.43913e+06	1.58487e+06	1.4909e+06	1.45008e+06	1.55745e+06	1.56513e+06
P03004	P03004		dnaA		2.27448e+06	2.27149e+06	2.28879e+06	2.26211e+06	2.33025e+06	2.43762e+06
P03007	P03007		dnaQ		849421	745471	821519	748977	693071	872717
P03018	P03018		uvrD		3.58152e+06	3.58775e+06	3.39649e+06	3.6982e+06	3.51518e+06	3.73593e+06
P03024	P03024		galR		1.40717e+06	1.29545e+06	1.2939e+06	1.36255e+06	1.21642e+06	1.15012e+06
P03817	P03817		mioC		7.90098e+06	8.17869e+06	7.96051e+06	7.45001e+06	8.10188e+06	8.00362e+06
P03841	P03841		malM		9.90705e+06	9.79717e+06	9.94568e+06	1.00189e+07	9.48239e+06	1.03027e+07
P04036	P04036		dapB		5.05627e+06	5.24003e+06	5.39651e+06	4.82473e+06	5.17224e+06	5.11459e+06
P04079	P04079		guaA		1.74937e+07	1.81353e+07	1.80583e+07	1.7884e+07	1.78582e+07	1.79123e+07
P04335	P04335		frsA		4.39658e+06	4.27184e+06	4.19502e+06	4.11886e+06	4.20534e+06	4.43065e+06
P04425	P04425		gshB		8.28724e+06	8.80563e+06	8.88043e+06	8.49013e+06	8.67847e+06	8.34963e+06
P04693	P04693		tyrB		3.5922e+06	3.70698e+06	3.81592e+06	3.71024e+06	3.76075e+06	3.66629e+06
P04805	P04805		gltX		2.43106e+07	2.45669e+07	2.4675e+07	2.45414e+07	2.4838e+07	2.55587e+07
P04825	P04825		pepN		1.49736e+07	1.51007e+07	1.52916e+07	1.50835e+07	1.55043e+07	1.5526e+07
P04846	P04846		nlpA		3.08444e+06	3.2095e+06	3.31457e+06	3.21804e+06	3.2826e+06	3.34852e+06
P04949	P04949		fliC		2.41136e+07	2.55375e+07	2.57834e+07	2.5353e+07	2.48663e+07	2.38639e+07
P04951	P04951		kdsB		4.04359e+06	4.0808e+06	4.10834e+06	3.97467e+06	4.19953e+06	4.20718e+06
P04982	P04982		rbsD		1.34192e+06	1.46958e+06	1.43305e+06	1.48618e+06	1.22439e+06	1.35786e+06
P04995	P04995		sbcB		1.28983e+07	1.37086e+07	1.33946e+07	1.31026e+07	1.32253e+07	1.31603e+07
P05020	P05020		pyrC		6.24124e+06	6.55174e+06	6.36534e+06	5.97911e+06	6.6576e+06	6.16246e+06
P05041	P05041		pabB		1.61937e+06	1.76796e+06	1.82842e+06	1.58007e+06	1.68884e+06	1.54295e+06
P05055	P05055		pnp		3.63276e+07	3.74157e+07	3.75176e+07	3.6451e+07	3.81456e+07	3.63287e+07
P05100	P05100		tag		1.64139e+06	1.56741e+06	1.63474e+06	1.56437e+06	1.44687e+06	1.4493e+06
P05194	P05194		aroD		1.0921e+06	1.26489e+06	1.20406e+06	1.1314e+06	1.25163e+06	1.20766e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)					316129	343235		335279	
P05458	P05458		ptrA		938919	900722	938601	911514	898054	859517
P05459	P05459		pdxB		5.91887e+06	6.15209e+06	6.07745e+06	5.89641e+06	5.98989e+06	5.95448e+06
P05637	P05637		apaH		1.50805e+06	1.58139e+06	1.49892e+06	1.4551e+06	1.58887e+06	1.61086e+06
P05719	P05719		hsdS		1.28473e+06	1.34267e+06	1.2039e+06	1.24644e+06	1.17342e+06	1.1588e+06
P05791	P05791		ilvD		3.10128e+06	3.06858e+06	3.15099e+06	3.02871e+06	2.9973e+06	3.08722e+06
P05793	P05793		ilvC		7.42437e+06	7.47299e+06	7.44304e+06	7.48966e+06	7.8083e+06	7.61493e+06
P05825	P05825		fepA		1.69579e+06	1.6817e+06	1.71662e+06	1.70911e+06	1.67103e+06	1.65125e+06
P05852	P05852		gcp		2.48722e+06	2.43898e+06	2.45463e+06	2.3998e+06	2.33157e+06	2.29926e+06
P06129	P06129		btuB		1.4313e+07	1.48591e+07	1.45728e+07	1.46883e+07	1.46655e+07	1.47295e+07
P06136	P06136		ftsQ		593273	588434	605218	535902	590530	512671
P06149	P06149		dld		6.27746e+06	6.38948e+06	6.2556e+06	6.27244e+06	6.0936e+06	6.00662e+06
P06282	P06282		cdh		1.08428e+06	1.17556e+06	1.17744e+06	1.18096e+06	1.21496e+06	1.20622e+06
P06610	P06610		btuE		1.03607e+07	1.1693e+07	1.16126e+07	1.0572e+07	1.16407e+07	1.06564e+07
P06612	P06612		topA		5.7248e+06	5.63814e+06	5.63751e+06	5.69024e+06	5.56036e+06	5.64891e+06
P06616	P06616		era		3.89514e+06	4.04015e+06	3.87939e+06	3.98696e+06	3.75528e+06	3.83e+06
P06709	P06709		birA		1.05012e+06	989356	1.02459e+06	1.04824e+06	1.0377e+06	1.16328e+06
P06710	P06710		dnaX		1.56996e+06	1.5703e+06	1.52453e+06	1.53999e+06	1.58524e+06	1.56788e+06
P06715	P06715		gor		4.70503e+06	4.81715e+06	4.95579e+06	4.89369e+06	5.02502e+06	4.8059e+06
P06722	P06722		mutH		540045	522645	555576	570221	569724	587695
P06846	P06846		ebgR		1.40889e+06	1.40919e+06	1.38853e+06	1.3927e+06	1.13445e+06	1.37682e+06
P06959	P06959		aceF		6.53907e+07	6.50328e+07	6.6638e+07	6.45178e+07	6.59731e+07	6.52504e+07
P06961	P06961		cca		1.09263e+06	1.04543e+06	1.01832e+06	1.1091e+06	1.08992e+06	1.13782e+06
P06968	P06968		dut		7.99392e+06	7.83281e+06	8.00471e+06	8.23269e+06	7.83332e+06	7.67816e+06
P06971	P06971		fhuA		1.43598e+07	1.43118e+07	1.45098e+07	1.39382e+07	1.42404e+07	1.41526e+07
P06974	P06974		fliM		1.52107e+06	1.4777e+06	1.5421e+06	1.58994e+06	1.51675e+06	1.59701e+06
P06983	P06983		hemC		1.0691e+07	1.0948e+07	1.09173e+07	1.0597e+07	1.10308e+07	1.03993e+07
P06986	P06986		hisC		4.51639e+06	4.40053e+06	4.35635e+06	4.25538e+06	4.30205e+06	4.23254e+06
P06987	P06987		hisB		1.16961e+06	1.20607e+06	1.20743e+06	1.17722e+06	1.15274e+06	1.13427e+06
P06988	P06988		hisD		889274	757403	792704	883497	843779	916962
P06992	P06992		rsmA		2.18763e+06	2.28608e+06	2.10262e+06	2.18839e+06	2.05738e+06	2.18842e+06
P06996	P06996		ompC		2.89407e+08	2.87029e+08	2.89889e+08	2.8835e+08	2.90122e+08	2.77457e+08
P06999	P06999		pfkB		1.23471e+06	1.17843e+06	1.20223e+06	1.25714e+06	1.13857e+06	1.11868e+06
P07000	P07000		pldB		534591	609870	558381	563558	555998	565067
P07001	P07001		pntA		6.16482e+06	6.24274e+06	6.15209e+06	5.98405e+06	5.87278e+06	5.93995e+06
P07003	P07003		poxB		2.57182e+06	2.61201e+06	2.63266e+06	2.52139e+06	2.62519e+06	2.51322e+06
P07004	P07004		proA		4.86235e+06	4.78833e+06	4.87738e+06	4.90677e+06	4.71787e+06	4.7839e+06
P07012	P07012		prfB		8.7611e+06	8.95873e+06	9.2742e+06	8.98485e+06	9.18188e+06	8.664e+06
P07014	P07014		sdhB		1.67005e+06	1.64535e+06	1.64948e+06	1.66349e+06	1.65495e+06	1.62879e+06
P07017	P07017		tar		3.56672e+06	3.41007e+06	3.45332e+06	3.51215e+06	3.4709e+06	3.45453e+06
P07021	P07021		yfiB		838822	801142	794560	766944	828244	827561
P07023	P07023		tyrA		2.53307e+06	2.47631e+06	2.46033e+06	2.47865e+06	2.34741e+06	2.42671e+06
P07024	P07024		ushA		4.77184e+06	4.61015e+06	4.79339e+06	4.65738e+06	4.79555e+06	4.82721e+06
P07026	P07026		sdiA		1.80299e+06	1.7717e+06	1.67924e+06	1.70436e+06	1.79531e+06	1.72609e+06
P07118	P07118		valS		2.19181e+07	2.25391e+07	2.24244e+07	2.22553e+07	2.27492e+07	2.22249e+07
P07330	P07330		cheB		1.1788e+06	1.12098e+06	1.10554e+06	1.15001e+06	1.10136e+06	1.1415e+06
P07363	P07363		cheA		5.51245e+06	5.60104e+06	5.40914e+06	5.43264e+06	5.3038e+06	5.35141e+06
P07395	P07395		pheT		1.50846e+07	1.49318e+07	1.49445e+07	1.50706e+07	1.49382e+07	1.49224e+07
P07604	P07604		tyrR		2.40907e+06	2.40202e+06	2.27451e+06	2.26124e+06	2.37777e+06	2.44422e+06
P07639	P07639		aroB		3.34129e+06	3.18837e+06	3.22634e+06	3.37388e+06	3.21448e+06	3.15584e+06
P07649	P07649		truA		1.88766e+06	1.88074e+06	1.8885e+06	1.94529e+06	1.84128e+06	1.81956e+06
P07650	P07650		deoA		5.88385e+06	6.14076e+06	6.08647e+06	6.12892e+06	6.06032e+06	5.91028e+06
P07658	P07658		fdhF		879906	893903	885276	937692	917904	889346
P07762	P07762		glgB		3.16769e+06	3.17466e+06	3.12094e+06	3.00826e+06	3.1583e+06	3.15613e+06
P07813	P07813		leuS		1.41734e+07	1.45852e+07	1.43472e+07	1.42665e+07	1.46716e+07	1.44181e+07
P07821	P07821		fhuC		514361	614799	563453	529880	564456	588795
P07862	P07862		ddlB		2.15565e+06	2.28483e+06	2.23405e+06	2.19963e+06	2.21324e+06	2.28386e+06
P07913	P07913		tdh		3.76534e+06	3.69117e+06	3.61941e+06	3.85305e+06	3.68812e+06	3.66884e+06
P08178	P08178		purM		1.59603e+06	1.63824e+06	1.59056e+06	1.75826e+06	1.64025e+06	1.65569e+06
P08179	P08179		purN		1.19473e+06	1.25541e+06	1.31734e+06	1.30764e+06	1.173e+06	1.00565e+06
P08190	P08190		fimG		2.26401e+06	2.23845e+06	2.18517e+06	2.3725e+06	2.31034e+06	2.29612e+06
P08191	P08191		fimH		3.08049e+06	2.75271e+06	2.85229e+06	2.91053e+06	2.88147e+06	2.86649e+06
P08192	P08192		folC		3.3758e+06	3.39885e+06	3.38617e+06	3.5086e+06	3.41567e+06	3.30203e+06
P08200	P08200		icd		2.31245e+07	2.39414e+07	2.42077e+07	2.2941e+07	2.43701e+07	2.33924e+07
P08201	P08201		nirB		5.15869e+06	5.19242e+06	5.17869e+06	5.13718e+06	5.0738e+06	5.08353e+06
P08244	P08244		pyrF		7.55756e+06	7.39789e+06	7.48657e+06	7.47264e+06	7.41255e+06	7.41757e+06
P08245	P08245		yciH		803902	760958	765760	777256	795419	799271
P08312	P08312		pheS		1.34102e+07	1.33142e+07	1.31862e+07	1.35415e+07	1.34856e+07	1.34358e+07
P08331	P08331		cpdB		2.46517e+06	2.4888e+06	2.40504e+06	2.48233e+06	2.40563e+06	2.38323e+06
P08337	P08337		mutT		1.10988e+06	985148	951426	1.02188e+06	1.00056e+06	1.09054e+06
P08373	P08373		murB		1.73277e+06	1.71659e+06	1.6967e+06	1.71004e+06	1.74655e+06	1.79931e+06
P08390	P08390		usg		5.1079e+06	5.2812e+06	5.20846e+06	4.95503e+06	5.37651e+06	5.14957e+06
P08395	P08395		sppA		3.25353e+06	3.1645e+06	3.1281e+06	3.20298e+06	3.10912e+06	3.01867e+06
P08506	P08506		dacC		6.10576e+06	6.01044e+06	6.08572e+06	5.95466e+06	6.14686e+06	5.86472e+06
P08622	P08622		dnaJ		5.93701e+06	5.97124e+06	5.89821e+06	6.0344e+06	6.02385e+06	5.97714e+06
P08660	P08660		lysC		2.43572e+06	2.39808e+06	2.42282e+06	2.28285e+06	2.47324e+06	2.4302e+06
P08839	P08839		ptsI		4.32617e+07	4.42083e+07	4.44415e+07	4.32207e+07	4.40014e+07	4.29251e+07
P08956	P08956		hsdR		1.64988e+06	1.68922e+06	1.68168e+06	1.67797e+06	1.65246e+06	1.52598e+06
