Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				5.86737e+06	5.88097e+06		5.83035e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				6.82262e+06	6.58208e+06		6.85877e+06		
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				9.58968e+06	8.8235e+06		9.47003e+06		
P00350	P00350		gnd		3.59913e+07	3.64588e+07	3.60179e+07	3.72516e+07	3.64113e+07	3.57394e+07
P00363	P00363		frdA		4.46018e+07	4.28926e+07	4.30241e+07	4.46679e+07	4.3515e+07	4.36209e+07
P00370	P00370		gdhA		2.21483e+06	2.13074e+06	2.15249e+06	2.09056e+06	2.10714e+06	2.12325e+06
P00393	P00393		ndh		5.99577e+06	6.07184e+06	6.09787e+06	6.0989e+06	6.07896e+06	6.04904e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4.91674e+06	4.85818e+06		4.88611e+06		
P00448	P00448		sodA		3.52015e+06	3.44049e+06	3.43161e+06	3.45248e+06	3.4649e+06	3.41045e+06
P00452	P00452		nrdA		1.00847e+07	1.01287e+07	1.03692e+07	1.0443e+07	1.0522e+07	1.0438e+07
