Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)					816723	615089	718439		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					1.30078e+06	1.44376e+06	1.30601e+06		
P00350	P00350		gnd		3.48387e+07	3.51793e+07	3.50766e+07	3.48684e+07	3.53371e+07	3.47516e+07
P00363	P00363		frdA		4.85005e+07	5.02642e+07	5.09406e+07	5.07633e+07	4.92427e+07	4.92532e+07
P00370	P00370		gdhA		1.82456e+06	1.75738e+06	1.8028e+06	1.7903e+06	1.83604e+06	1.89085e+06
P00393	P00393		ndh		5.36279e+06	5.24985e+06	5.18405e+06	5.26594e+06	5.40969e+06	5.31556e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				464935	845900	903865	912262	323687	508866
P00448	P00448		sodA		3.28154e+06	3.50793e+06	3.34053e+06	3.29746e+06	3.40712e+06	3.28919e+06
P00452	P00452		nrdA		9.54202e+06	9.51066e+06	9.58229e+06	9.48099e+06	9.52116e+06	9.62735e+06
P00490	P00490		malP		5.6501e+06	5.56492e+06	5.54757e+06	5.60402e+06	5.5234e+06	5.56506e+06
P00509	P00509		aspC		1.77568e+07	1.7713e+07	1.73782e+07	1.75129e+07	1.77944e+07	1.77295e+07
P00547	P00547		thrB		702109	901037	930880	863644	748117	770089
P00550	P00550		mtlA		2.05271e+06	2.18368e+06	2.07928e+06	1.93156e+06	2.04901e+06	2.02311e+06
P00561	P00561		thrA		2.39511e+06	2.52592e+06	2.55289e+06	2.47518e+06	2.59562e+06	2.34044e+06
P00562	P00562		metL		2.71349e+06	2.61676e+06	2.79105e+06	2.67476e+06	2.63579e+06	2.7743e+06
P00579	P00579		rpoD		7.57204e+06	7.95444e+06	7.89201e+06	7.94829e+06	7.55883e+06	7.70849e+06
P00582	P00582		polA		3.3432e+06	3.2679e+06	3.23924e+06	3.33229e+06	3.3433e+06	3.25748e+06
P00803	P00803		lepB		4.05578e+06	4.08445e+06	4.11805e+06	3.69601e+06	4.08743e+06	3.87815e+06
P00805	P00805		ansB		1.96155e+07	1.95068e+07	1.97339e+07	1.96025e+07	1.95336e+07	1.91863e+07
