Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				564340	526119	1.01881e+06	829669	911691	
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				514841	634355	1.2937e+06	1.52416e+06	1.36322e+06	620075
P00350	P00350		gnd		3.65588e+07	3.66058e+07	3.70346e+07	3.67544e+07	3.64443e+07	3.67374e+07
P00363	P00363		frdA		2.78383e+07	2.76329e+07	2.78962e+07	2.83091e+07	2.80061e+07	2.79991e+07
P00370	P00370		gdhA		1.93064e+06	1.86986e+06	1.84537e+06	1.84652e+06	1.81561e+06	1.91062e+06
P00393	P00393		ndh		5.41604e+06	5.46218e+06	5.45972e+06	5.32922e+06	5.46377e+06	5.46546e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				482699	459014	945207	860464	982598	479947
P00448	P00448		sodA		3.62988e+06	3.50969e+06	3.58741e+06	3.6032e+06	3.47409e+06	3.61316e+06
P00452	P00452		nrdA		9.71748e+06	9.68424e+06	9.82431e+06	9.77661e+06	9.6707e+06	9.65312e+06
P00490	P00490		malP		5.60723e+06	5.60996e+06	5.7068e+06	5.7144e+06	5.70819e+06	5.5571e+06
P00509	P00509		aspC		1.83621e+07	1.8357e+07	1.84884e+07	1.82504e+07	1.84356e+07	1.82069e+07
P00547	P00547		thrB		994457	941631	980970	1.047e+06	883077	967050
P00550	P00550		mtlA		2.08197e+06	2.01435e+06	2.10264e+06	1.94866e+06	1.99248e+06	1.9668e+06
P00561	P00561		thrA		2.03662e+06	1.9665e+06	2.0883e+06	2.07921e+06	2.0846e+06	2.1163e+06
P00562	P00562		metL		2.7732e+06	2.77024e+06	2.76548e+06	2.91448e+06	2.7468e+06	2.78858e+06
P00579	P00579		rpoD		7.02788e+06	7.0752e+06	7.05227e+06	6.97572e+06	6.98363e+06	7.09224e+06
P00582	P00582		polA		3.41562e+06	3.38293e+06	3.39481e+06	3.34746e+06	3.44323e+06	3.35658e+06
P00803	P00803		lepB		4.52591e+06	4.3921e+06	4.94728e+06	4.55721e+06	4.41287e+06	4.36255e+06
P00805	P00805		ansB		2.08035e+07	2.10605e+07	2.10949e+07	2.08064e+07	2.06975e+07	2.11645e+07
P00811	P00811		ampC		1.07588e+06	937518	914242	985566	966510	985487
P00864	P00864		ppc		1.1189e+07	1.11146e+07	1.13564e+07	1.10705e+07	1.10853e+07	1.11754e+07
P00887	P00887		aroH		1.37362e+06	1.4981e+06	1.36201e+06	1.42089e+06	1.47988e+06	1.4134e+06
P00888	P00888		aroF		1.95083e+06	1.9982e+06	1.94514e+06	1.95972e+06	1.98043e+06	2.01453e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				603424	592980	1.50632e+06	1.51607e+06	1.46718e+06	548104
P00926	P00926		dsdA		1.43324e+06	1.27015e+06	1.32201e+06	1.26315e+06	1.24263e+06	1.26237e+06
P00934	P00934		thrC		4.53539e+06	4.51537e+06	4.4947e+06	4.38166e+06	4.41349e+06	4.36165e+06
P00935	P00935		metB		704508	703601	740756	602631	508649	593139
P00936	P00936		cyaA		821378	912822	808895	884029	827274	883284
P00946	P00946		manA		1.11558e+07	1.09678e+07	1.14263e+07	1.13119e+07	1.11807e+07	1.15498e+07
P00954	P00954		trpS		1.40204e+07	1.43417e+07	1.37092e+07	1.33416e+07	1.34586e+07	1.41328e+07
P00956	P00956		ileS		2.50193e+07	2.47843e+07	2.4966e+07	2.50322e+07	2.48246e+07	2.5135e+07
P00957	P00957		alaS		1.46481e+07	1.46166e+07	1.42513e+07	1.41386e+07	1.43871e+07	1.45273e+07
P00959	P00959		metG		1.87124e+07	1.88639e+07	1.8237e+07	1.83566e+07	1.85849e+07	1.89222e+07
P00960	P00960		glyQ		4.70948e+06	4.7269e+06	4.78674e+06	4.64241e+06	4.76103e+06	4.68835e+06
P00961	P00961		glyS		1.13467e+07	1.12692e+07	1.12087e+07	1.13943e+07	1.1196e+07	1.12581e+07
P00962	P00962		glnS		1.10331e+07	1.06207e+07	1.105e+07	1.07141e+07	1.09077e+07	1.0702e+07
P00963	P00963		asnA		1.75157e+07	1.71237e+07	1.74081e+07	1.75082e+07	1.73633e+07	1.72936e+07
P00968	P00968		carB		4.55756e+06	4.62155e+06	4.62355e+06	4.52611e+06	4.61248e+06	4.50859e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				624318	668197	1.19168e+06	1.12451e+06	1.11868e+06	506328
