Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)					9.75306e+06	1.01239e+07			9.62385e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					2.1025e+07	2.07023e+07			2.11739e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				2.68559e+06	1.37374e+07	1.34032e+07			1.37066e+07
P00350	P00350		gnd		2.60165e+07	2.59556e+07	2.59986e+07	2.65552e+07	2.62576e+07	2.5706e+07
P00363	P00363		frdA		4.69527e+07	4.76759e+07	4.71613e+07	4.78517e+07	4.80934e+07	4.61817e+07
P00370	P00370		gdhA		2.16996e+06	2.11122e+06	2.11457e+06	2.17756e+06	2.20336e+06	2.04692e+06
P00393	P00393		ndh		5.26325e+06	5.14829e+06	5.41319e+06	5.32408e+06	5.24327e+06	5.34559e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)					6.40444e+06	6.29601e+06			6.20387e+06
P00448	P00448		sodA		3.31021e+06	3.2006e+06	3.31408e+06	3.40295e+06	3.20369e+06	3.16717e+06
P00452	P00452		nrdA		9.60171e+06	9.74665e+06	9.42364e+06	9.65488e+06	9.67786e+06	9.47656e+06
P00490	P00490		malP		5.61424e+06	5.41649e+06	5.40977e+06	5.43238e+06	5.41454e+06	5.34289e+06
P00509	P00509		aspC		1.80247e+07	1.73753e+07	1.74401e+07	1.77317e+07	1.79649e+07	1.78002e+07
P00550	P00550		mtlA		2.13534e+06	2.26416e+06	2.24691e+06	2.20717e+06	2.28901e+06	2.4735e+06
P00561	P00561		thrA		2.95176e+06	2.69453e+06	2.75864e+06	2.96008e+06	2.95751e+06	2.90141e+06
P00562	P00562		metL		2.61227e+06	2.73993e+06	2.69843e+06	2.51068e+06	2.64126e+06	2.69468e+06
P00579	P00579		rpoD		7.88787e+06	7.92719e+06	7.81452e+06	7.66575e+06	7.80345e+06	8.0789e+06
P00582	P00582		polA		3.90449e+06	3.68425e+06	3.82417e+06	3.861e+06	3.74809e+06	3.7215e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.2309e+06	3.6469e+06	3.7933e+06	831258	1.14853e+06	3.43056e+06
P00803	P00803		lepB		4.55568e+06	4.6072e+06	4.70914e+06	4.65261e+06	4.51653e+06	4.653e+06
P00805	P00805		ansB		2.04237e+07	1.99184e+07	1.97818e+07	2.03363e+07	1.98318e+07	1.97768e+07
P00811	P00811		ampC		1.53811e+06	1.15885e+06	1.24404e+06	1.54045e+06	1.50584e+06	1.342e+06
P00864	P00864		ppc		1.99465e+07	2.00076e+07	1.9569e+07	1.98923e+07	1.96806e+07	2.01942e+07
P00887	P00887		aroH		1.57857e+06	1.63477e+06	1.6744e+06	1.61476e+06	1.52029e+06	1.62798e+06
P00888	P00888		aroF		1.84539e+06	1.84001e+06	1.82456e+06	1.87498e+06	1.83582e+06	1.85157e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.49166e+06	5.56978e+06	5.725e+06	1.66949e+06	1.14478e+06	5.41275e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.15568e+07	1.34068e+07	1.3526e+07		1.07024e+07	1.31144e+07
P00934	P00934		thrC		4.40203e+06	4.46224e+06	4.23555e+06	4.36448e+06	4.40097e+06	4.07152e+06
P00946	P00946		manA		1.07443e+07	1.07755e+07	1.08949e+07	1.09764e+07	1.09458e+07	1.04133e+07
P00954	P00954		trpS		4.5953e+06	5.10042e+06	4.85695e+06	4.48688e+06	4.50339e+06	4.70664e+06
P00956	P00956		ileS		1.82036e+07	1.88913e+07	1.90191e+07	1.83297e+07	1.85458e+07	1.85456e+07
P00957	P00957		alaS		1.3925e+07	1.45682e+07	1.45018e+07	1.37909e+07	1.34591e+07	1.47271e+07
P00959	P00959		metG		1.77411e+07	1.82738e+07	1.85941e+07	1.77049e+07	1.76894e+07	1.82531e+07
P00960	P00960		glyQ		4.75868e+06	4.34678e+06	4.38492e+06	4.75668e+06	4.6311e+06	4.55003e+06
