Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)					1.0215e+07		1.02725e+07		1.00796e+07
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.93557e+06	1.74578e+07		1.7128e+07		1.75687e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)					1.81573e+07		1.79558e+07		1.79409e+07
P00350	P00350		gnd		3.78831e+07	3.75247e+07	3.85937e+07	3.74468e+07	3.77682e+07	3.75391e+07
P00363	P00363		frdA		4.21452e+07	4.07298e+07	4.22436e+07	4.03631e+07	4.27278e+07	4.01409e+07
P00370	P00370		gdhA		2.23237e+06	2.14854e+06	2.18069e+06	2.12202e+06	2.21376e+06	2.06682e+06
P00393	P00393		ndh		5.07158e+06	5.01735e+06	5.26078e+06	5.30294e+06	5.15169e+06	5.27489e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)					7.26694e+06		7.247e+06		7.21232e+06
P00448	P00448		sodA		3.99129e+06	3.86007e+06	4.0213e+06	3.98202e+06	3.80193e+06	3.66844e+06
P00452	P00452		nrdA		9.98703e+06	1.00867e+07	1.00547e+07	9.84665e+06	1.00087e+07	9.93022e+06
P00490	P00490		malP		5.70245e+06	5.54397e+06	5.60559e+06	5.51994e+06	5.63143e+06	5.6129e+06
P00509	P00509		aspC		1.83484e+07	1.8344e+07	1.85242e+07	1.83921e+07	1.88537e+07	1.85219e+07
P00550	P00550		mtlA		808340	786159	869818	817571	890239	827098
P00561	P00561		thrA		2.29003e+06	2.17888e+06	2.30782e+06	2.21491e+06	2.38344e+06	2.17974e+06
P00562	P00562		metL		2.90462e+06	3.13079e+06	2.93777e+06	3.14591e+06	3.04471e+06	3.18191e+06
P00579	P00579		rpoD		8.46778e+06	8.247e+06	8.65386e+06	8.22738e+06	8.47183e+06	8.32408e+06
P00582	P00582		polA		3.55444e+06	3.29352e+06	3.45051e+06	3.37315e+06	3.39387e+06	3.44275e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				604625	6.2692e+06	747952	6.3099e+06	779953	5.98342e+06
P00803	P00803		lepB		4.61236e+06	4.64249e+06	4.73038e+06	4.4739e+06	4.47194e+06	4.75593e+06
P00805	P00805		ansB		1.92533e+07	1.84514e+07	1.91423e+07	1.86466e+07	1.86184e+07	1.8541e+07
P00811	P00811		ampC		840282	875047	834724	999124	740460	869448
P00864	P00864		ppc		1.03789e+07	1.04278e+07	1.04364e+07	1.03255e+07	1.04374e+07	1.05241e+07
P00887	P00887		aroH		2.60432e+06	3.01065e+06	2.56976e+06	3.04028e+06	2.52095e+06	2.90262e+06
P00888	P00888		aroF		2.05853e+06	2.05655e+06	1.97107e+06	2.07746e+06	2.02829e+06	2.10014e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				1.48888e+06	6.77734e+06	1.73253e+06	6.87542e+06		6.53344e+06
