Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.66167e+06	2.70659e+06	1.138e+07	1.15482e+07	1.09939e+07	2.64008e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.57889e+06	4.64107e+06	2.21061e+07	2.21933e+07	2.26011e+07	4.79634e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.28879e+06	4.38729e+06	1.72379e+07	1.71652e+07	1.70372e+07	4.18861e+06
P00350	P00350		gnd		3.78248e+07	3.71341e+07	3.65771e+07	3.6441e+07	3.63333e+07	3.68546e+07
P00363	P00363		frdA		4.79882e+07	4.76049e+07	4.55132e+07	4.50987e+07	4.49938e+07	4.46552e+07
P00370	P00370		gdhA		2.28891e+06	2.27555e+06	2.33094e+06	2.28282e+06	2.27599e+06	2.2825e+06
P00393	P00393		ndh		5.62723e+06	5.62787e+06	5.22038e+06	5.38987e+06	5.37226e+06	5.25899e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				2.39959e+06	2.55665e+06	9.49872e+06	9.50504e+06	9.34195e+06	2.13088e+06
P00448	P00448		sodA		3.79789e+06	3.73273e+06	3.47509e+06	3.56902e+06	3.38976e+06	3.66895e+06
P00452	P00452		nrdA		1.01273e+07	1.01709e+07	1.01177e+07	9.90242e+06	1.00225e+07	9.94841e+06
P00490	P00490		malP		5.12541e+06	5.13529e+06	5.07106e+06	4.93003e+06	4.9559e+06	5.16955e+06
P00509	P00509		aspC		1.91405e+07	1.92891e+07	1.87032e+07	1.85488e+07	1.90199e+07	1.87108e+07
P00550	P00550		mtlA		857052	845223	817629	853461	918331	779398
P00561	P00561		thrA		2.48582e+06	2.41073e+06	2.3055e+06	2.34565e+06	2.34867e+06	2.50772e+06
P00562	P00562		metL		2.58237e+06	2.58862e+06	2.57832e+06	2.68714e+06	2.56953e+06	2.73218e+06
P00579	P00579		rpoD		8.68224e+06	8.75975e+06	8.36359e+06	8.31593e+06	8.33671e+06	8.19442e+06
P00582	P00582		polA		3.50946e+06	3.39027e+06	3.40917e+06	3.445e+06	3.49215e+06	3.3743e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.01295e+06	1.75055e+06	6.81836e+06	6.53111e+06	6.09895e+06	1.57819e+06
P00803	P00803		lepB		4.84199e+06	5.02099e+06	4.80688e+06	4.76795e+06	4.94022e+06	5.04828e+06
P00805	P00805		ansB		2.07411e+07	2.06489e+07	2.07359e+07	2.06102e+07	2.09509e+07	1.96631e+07
P00811	P00811		ampC		901866	923931	886215	902860	956774	777949
P00864	P00864		ppc		1.12595e+07	1.14188e+07	1.11279e+07	1.10746e+07	1.11142e+07	1.11321e+07
P00887	P00887		aroH		1.41426e+06	1.32905e+06	1.55948e+06	1.62726e+06	1.57358e+06	1.43722e+06
P00888	P00888		aroF		1.79664e+06	1.85496e+06	1.77179e+06	1.72218e+06	1.79481e+06	1.81909e+06
P00892	P00892		ilvG		610657	589585		514406	508085	
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				3.13473e+06	3.15926e+06	1.35083e+07	1.36377e+07	1.34351e+07	2.99559e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				5.70585e+06	6.00443e+06	2.46684e+07	2.49246e+07	2.4491e+07	5.54516e+06
P00934	P00934		thrC		4.43375e+06	4.37377e+06	4.56519e+06	4.39203e+06	4.26731e+06	4.22811e+06
P00946	P00946		manA		1.12484e+07	1.13272e+07	1.1027e+07	1.1333e+07	1.10144e+07	1.13386e+07
P00954	P00954		trpS		7.14426e+06	7.0677e+06	7.17158e+06	6.96812e+06	6.81364e+06	6.94319e+06
P00956	P00956		ileS		2.10194e+07	2.0881e+07	2.06781e+07	2.06631e+07	2.04124e+07	1.98779e+07
P00957	P00957		alaS		1.88614e+07	1.87983e+07	1.88744e+07	1.86985e+07	1.88641e+07	1.74154e+07
P00959	P00959		metG		1.81729e+07	1.82822e+07	1.80516e+07	1.81733e+07	1.81175e+07	1.74721e+07
P00960	P00960		glyQ		4.78378e+06	4.76424e+06	4.56524e+06	4.6568e+06	4.56253e+06	4.7063e+06
P00961	P00961		glyS		1.37917e+07	1.37824e+07	1.32455e+07	1.33569e+07	1.35309e+07	1.26291e+07
P00962	P00962		glnS		1.503e+07	1.51104e+07	1.45764e+07	1.45279e+07	1.45284e+07	1.35306e+07
P00963	P00963		asnA		1.77097e+07	1.79123e+07	1.72145e+07	1.75555e+07	1.70776e+07	1.66269e+07
P00968	P00968		carB		3.52901e+06	3.49864e+06	3.42421e+06	3.4972e+06	3.45883e+06	3.54933e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				4.5589e+06	4.5243e+06	1.80422e+07	1.81977e+07	1.79446e+07	4.41815e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				5.03794e+06	5.41992e+06	2.26794e+07	2.49952e+07	2.3795e+07	5.71203e+06
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				4.6681e+06	4.63363e+06	1.64086e+07	1.6816e+07	1.71261e+07	4.34873e+06
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				5.50017e+06	5.49524e+06	2.52177e+07	2.47601e+07	2.49155e+07	5.74959e+06
P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)				3.53446e+06	3.46879e+06	1.50564e+07	1.59493e+07	1.46199e+07	3.75421e+06
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)				7.56622e+06	7.26094e+06	3.44283e+07	3.55689e+07	3.47038e+07	7.65975e+06
P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)				1.92131e+06	1.95871e+06	9.06354e+06	8.95917e+06	8.96236e+06	1.86324e+06
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)				5.95912e+06	5.91843e+06	2.6632e+07	2.63009e+07	2.60666e+07	5.1797e+06
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)				4.19876e+06	4.43056e+06	1.92877e+07	1.93465e+07	1.965e+07	4.06773e+06
P02358	P02358		rpsF		1.14627e+08	1.12444e+08	1.11734e+08	1.10116e+08	1.08703e+08	8.8806e+07
P02359	P02359		rpsG		1.38973e+08	1.40245e+08	1.36855e+08	1.36537e+08	1.33665e+08	1.30657e+08
P02413	P02413		rplO		1.25344e+08	1.25851e+08	1.17742e+08	1.17011e+08	1.19682e+08	1.09277e+08
P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)				644600	710131	2.23722e+06	2.16844e+06	2.30931e+06	564861
P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)				1.39303e+06	1.34018e+06	4.72953e+06	4.79378e+06	4.61937e+06	1.27242e+06
P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)				8.92818e+06	8.80937e+06	3.77127e+07	3.82214e+07	3.87156e+07	8.48665e+06
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)				5.84335e+06	5.8014e+06	2.369e+07	2.39612e+07	2.36033e+07	5.52589e+06
P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)				5.35661e+06	5.50817e+06	2.37923e+07	2.38279e+07	2.41165e+07	5.32144e+06
P02918	P02918		mrcA		1.02087e+06	1.00835e+06	962252	946043	1.06252e+06	1.04116e+06
P02919	P02919		mrcB		1.813e+06	1.65064e+06	1.80964e+06	1.73698e+06	1.60999e+06	1.63124e+06
P02925	P02925		rbsB		8.85877e+06	9.13931e+06	9.40325e+06	9.49914e+06	9.3021e+06	8.94878e+06
P02930	P02930		tolC		2.16811e+07	2.21431e+07	2.13647e+07	2.18057e+07	2.1588e+07	2.26711e+07
P02931	P02931		ompF		3.80737e+07	3.8979e+07	3.65188e+07	3.57769e+07	3.76335e+07	4.11408e+07
P02942	P02942		tsr		1.10914e+07	1.07798e+07	1.07465e+07	1.11299e+07	1.12963e+07	1.0228e+07
P02943	P02943		lamB		1.4471e+06	1.50381e+06	1.49641e+06	1.4776e+06	1.39963e+06	1.44254e+06
P03004	P03004		dnaA		2.07515e+06	2.2658e+06	2.16548e+06	2.11559e+06	2.20264e+06	2.30961e+06
P03018	P03018		uvrD		1.97419e+06	2.0465e+06	1.92546e+06	1.98059e+06	1.83029e+06	2.27048e+06
P03817	P03817		mioC		6.92367e+06	7.10799e+06	7.28838e+06	6.81496e+06	7.19857e+06	6.56463e+06
P03841	P03841		malM		9.8699e+06	1.00843e+07	9.95958e+06	9.82573e+06	9.80408e+06	9.71075e+06
P04036	P04036		dapB		4.93328e+06	4.82421e+06	4.71878e+06	4.82571e+06	4.7149e+06	4.24354e+06
P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)				6.65815e+06	6.90926e+06	2.86374e+07	2.82262e+07	2.87314e+07	6.1755e+06
P04079	P04079		guaA		1.84039e+07	1.85872e+07	1.77649e+07	1.77593e+07	1.76274e+07	1.75444e+07
P04335	P04335		frsA		4.24477e+06	4.40206e+06	4.47014e+06	4.33958e+06	4.45113e+06	4.14707e+06
P04425	P04425		gshB		1.30189e+07	1.30218e+07	1.22206e+07	1.22739e+07	1.22995e+07	1.2593e+07
P04693	P04693		tyrB		4.02465e+06	4.00352e+06	4.05089e+06	4.26463e+06	4.21776e+06	4.36431e+06
P04805	P04805		gltX		2.3409e+07	2.38491e+07	2.42144e+07	2.38125e+07	2.4089e+07	2.43406e+07
P04825	P04825		pepN		1.54516e+07	1.56897e+07	1.56639e+07	1.5932e+07	1.61256e+07	1.43992e+07
P04846	P04846		nlpA		3.04164e+06	3.03539e+06	3.30638e+06	3.30791e+06	3.43292e+06	3.12448e+06
P04949	P04949		fliC		3.56669e+07	3.57062e+07	3.51921e+07	3.47126e+07	3.40516e+07	3.31623e+07
P04951	P04951		kdsB		5.64912e+06	5.55907e+06	5.75796e+06	5.61524e+06	5.8019e+06	5.71686e+06
P04982	P04982		rbsD		1.11978e+06	1.02957e+06	990480	922988	1.005e+06	1.13396e+06
P04995	P04995		sbcB		1.07704e+07	1.08481e+07	1.0105e+07	1.03561e+07	1.04758e+07	1.0787e+07
P05020	P05020		pyrC		6.43352e+06	6.39479e+06	6.32425e+06	6.25122e+06	6.33051e+06	6.33766e+06
P05041	P05041		pabB		1.76902e+06	1.83814e+06	2.00768e+06	1.98417e+06	1.84553e+06	1.99752e+06
P05055	P05055		pnp		4.43063e+07	4.49636e+07	4.41218e+07	4.324e+07	4.33294e+07	4.19363e+07
P05100	P05100		tag		1.68273e+06	1.68388e+06	1.81007e+06	1.89443e+06	1.6683e+06	1.84074e+06
P05194	P05194		aroD		1.2586e+06	1.1526e+06	1.34989e+06	1.20803e+06	1.34137e+06	1.45132e+06
P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)				7.71243e+06	7.61776e+06	3.17236e+07	3.25787e+07	3.17491e+07	7.39916e+06
P05458	P05458		ptrA		809990	782566	801062	810243	790969	840681
P05459	P05459		pdxB		5.13678e+06	5.2074e+06	5.12117e+06	4.93795e+06	5.29969e+06	4.94927e+06
P05637	P05637		apaH		1.38391e+06	1.36187e+06	1.47023e+06	1.47037e+06	1.36214e+06	1.42538e+06
P05719	P05719		hsdS		1.23077e+06	1.32017e+06	1.11949e+06	1.24726e+06	1.19092e+06	1.2424e+06
P05791	P05791		ilvD		7.82313e+06	8.05822e+06	7.69514e+06	7.96052e+06	7.67019e+06	8.74558e+06
P05793	P05793		ilvC		5.40179e+06	5.41793e+06	5.12215e+06	5.06389e+06	5.46877e+06	5.1262e+06
P05825	P05825		fepA		2.05044e+06	2.1505e+06	2.04846e+06	2.16926e+06	2.05298e+06	2.21767e+06
P05852	P05852		gcp		2.56296e+06	2.69774e+06	2.71262e+06	2.60681e+06	2.7387e+06	2.77665e+06
P06129	P06129		btuB		1.57597e+07	1.55403e+07	1.46831e+07	1.45456e+07	1.37473e+07	1.45227e+07
P06149	P06149		dld		7.59251e+06	7.56686e+06	7.39384e+06	7.18179e+06	7.18788e+06	6.00232e+06
P06282	P06282		cdh		1.57147e+06	1.63829e+06	1.63908e+06	1.71801e+06	1.67727e+06	1.86254e+06
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)				3.29437e+06	3.40099e+06	1.21805e+07	1.20921e+07	1.21329e+07	3.28304e+06
