Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				654598	825471	9.908e+06	1.00135e+07		9.70006e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				599274	727689	1.84432e+07	1.79607e+07	1.17022e+06	1.8633e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)					1.39302e+06	1.52855e+07	1.49138e+07		1.52565e+07
P00350	P00350		gnd		3.79121e+07	3.80981e+07	3.75116e+07	3.72259e+07	3.81692e+07	3.7434e+07
P00363	P00363		frdA		2.94804e+07	2.95066e+07	2.82113e+07	2.76339e+07	2.98761e+07	2.78181e+07
P00370	P00370		gdhA		2.26274e+06	2.27605e+06	2.23182e+06	2.2329e+06	2.32062e+06	2.25099e+06
P00393	P00393		ndh		5.36696e+06	5.34254e+06	5.23414e+06	5.38533e+06	5.33971e+06	5.45338e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				560667	533766	1.03331e+07	1.03159e+07	516241	1.0283e+07
P00448	P00448		sodA		3.66118e+06	3.5245e+06	3.42138e+06	3.4914e+06	3.56647e+06	3.22434e+06
P00452	P00452		nrdA		9.87653e+06	9.84303e+06	1.00557e+07	9.83141e+06	9.90155e+06	9.76491e+06
