Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				705695	1.14891e+07	700097	743140	1.19447e+07	1.13444e+07
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.64073e+06	1.95358e+07	1.69717e+06	1.6187e+06	1.87798e+07	1.93877e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				1.80295e+06	1.75419e+07	1.52524e+06	1.65515e+06	1.69096e+07	1.65851e+07
P00350	P00350		gnd		3.95323e+07	3.94992e+07	3.99823e+07	3.99186e+07	3.89613e+07	3.91788e+07
P00363	P00363		frdA		4.72265e+07	4.49292e+07	4.79433e+07	4.72424e+07	4.41584e+07	4.36753e+07
P00370	P00370		gdhA		1.86424e+06	1.82682e+06	1.83281e+06	1.7891e+06	1.84036e+06	1.82689e+06
P00393	P00393		ndh		5.31075e+06	5.14021e+06	5.18742e+06	5.39677e+06	5.2853e+06	5.36118e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				687464	8.65732e+06	764996	867963	8.67455e+06	8.89144e+06
P00448	P00448		sodA		3.51223e+06	3.3909e+06	3.32196e+06	3.36894e+06	3.46055e+06	3.25391e+06
P00452	P00452		nrdA		9.80065e+06	9.80099e+06	9.68084e+06	9.78138e+06	9.486e+06	9.51236e+06
