Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				1.42325e+06	1.36018e+06	1.38317e+06	857852	717946	788760
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				2.54352e+06	2.46514e+06	2.07365e+06	1.42837e+06	1.60123e+06	1.48854e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				3.1805e+06	3.08995e+06	3.15598e+06	1.81929e+06	1.3044e+06	1.45392e+06
P00350	P00350		gnd		3.74256e+07	3.72829e+07	3.7119e+07	3.72917e+07	3.72512e+07	3.68867e+07
P00363	P00363		frdA		5.0143e+07	4.96811e+07	4.92092e+07	5.08369e+07	5.10716e+07	5.02785e+07
P00370	P00370		gdhA		2.3346e+06	2.3572e+06	2.33253e+06	2.37265e+06	2.31216e+06	2.35549e+06
P00393	P00393		ndh		5.43863e+06	5.50049e+06	5.47918e+06	5.45637e+06	5.35021e+06	5.44105e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				1.66283e+06	1.80531e+06	1.70262e+06	978285	810612	949667
P00448	P00448		sodA		3.57475e+06	3.59205e+06	3.63842e+06	3.76016e+06	3.5688e+06	3.58245e+06
P00452	P00452		nrdA		9.58905e+06	9.44367e+06	9.52936e+06	9.7059e+06	9.51141e+06	9.54998e+06
P00490	P00490		malP		5.83685e+06	5.94291e+06	5.93337e+06	5.8361e+06	5.79549e+06	5.74896e+06
P00509	P00509		aspC		1.91636e+07	1.91121e+07	1.87025e+07	1.90271e+07	1.8887e+07	1.88175e+07
P00547	P00547		thrB		560389	543409	531989	563092	514310	579427
P00550	P00550		mtlA		707294	768280	790824	859520	837707	757372
P00561	P00561		thrA		3.27611e+06	3.15292e+06	3.27618e+06	3.33239e+06	3.59775e+06	3.43111e+06
P00562	P00562		metL		3.05971e+06	3.02125e+06	3.08185e+06	2.85554e+06	3.07312e+06	2.89232e+06
P00579	P00579		rpoD		7.89758e+06	7.50586e+06	7.58331e+06	7.88955e+06	8.02203e+06	7.85005e+06
P00582	P00582		polA		3.52623e+06	3.62014e+06	3.51739e+06	3.43626e+06	3.45248e+06	3.48888e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				541756	675944	361478	443582	570562	590878
