Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				7.46422e+06	7.21199e+06	7.03968e+06	7.39847e+06	7.41422e+06	7.03142e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.40279e+07	2.41074e+07	2.32034e+07	2.40774e+07	2.30881e+07	2.27829e+07
DECOY_sp|P0AAI3|FTSH_ECOLI ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1	DECOY_sp|P0AAI3|FTSH_ECOLI ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1				1.51401e+06	1.60276e+06	1.39301e+06	1.2442e+06	1.32771e+06	1.60105e+06
DECOY_sp|P0ABI8|CYOB_ECOLI Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1	DECOY_sp|P0ABI8|CYOB_ECOLI Ubiquinol oxidase subunit 1 OS=Escherichia coli (strain K12) GN=cyoB PE=1 SV=1				1.10043e+06	1.13254e+06	1.03027e+06	1.02893e+06	1.03506e+06	1.30554e+06
DECOY_sp|P11988|BGLB_ECOLI 6-phospho-beta-glucosidase BglB OS=Escherichia coli (strain K12) GN=bglB PE=1 SV=2	DECOY_sp|P11988|BGLB_ECOLI 6-phospho-beta-glucosidase BglB OS=Escherichia coli (strain K12) GN=bglB PE=1 SV=2				615226				544072	
DECOY_sp|P75750|YBGQ_ECOLI Uncharacterized outer membrane usher protein YbgQ OS=Escherichia coli (strain K12) GN=ybgQ PE=3 SV=2	DECOY_sp|P75750|YBGQ_ECOLI Uncharacterized outer membrane usher protein YbgQ OS=Escherichia coli (strain K12) GN=ybgQ PE=3 SV=2				985869	785272	907427	925807	820976	688099
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.8804e+06	2.00105e+06	1.79038e+06	1.81688e+06	1.9543e+06	2.03898e+06
DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1	DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1				2.96675e+06	3.0039e+06	2.75431e+06	2.82787e+06	2.91709e+06	
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				2.73707e+06	2.71483e+06	769145	716690	714658	2.42332e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				4.48764e+06	4.38634e+06	1.33337e+06	1.49182e+06	1.32087e+06	4.17699e+06
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				4.0106e+06	4.12416e+06	1.6069e+06	1.60778e+06	1.58772e+06	3.86613e+06
P00350	P00350		gnd		3.52049e+07	3.51481e+07	3.49287e+07	3.50251e+07	3.43729e+07	3.51741e+07
P00363	P00363		frdA		4.88136e+07	4.86646e+07	4.83333e+07	4.88423e+07	4.80969e+07	4.63349e+07
P00370	P00370		gdhA		1.97636e+06	1.88092e+06	1.90724e+06	1.90412e+06	1.90364e+06	1.96682e+06
