Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2				983817	909062	966599	1.02697e+06	1.13841e+06	989574
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.50796e+07	1.19911e+07	1.21312e+07	1.34049e+07	1.19187e+07	1.45672e+07
DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2	DECOY_sp|P21865|KDPD_ECOLI Sensor protein KdpD OS=Escherichia coli (strain K12) GN=kdpD PE=1 SV=2				997680	1.3351e+06	1.38805e+06	1.24615e+06	1.50205e+06	1.23196e+06
DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3	DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3				538209	612884	565006	633091	586638	480921
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1				6.13435e+06		6.02062e+06	5.84623e+06		
DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1	DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1				3.38513e+06	3.05229e+06	2.90939e+06	3.49953e+06	2.83541e+06	3.56145e+06
DECOY_sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2	DECOY_sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2				2.75724e+06	2.26691e+06	2.26295e+06	2.62214e+06	2.25125e+06	2.80643e+06
DECOY_sp|P77202|DSBG_ECOLI Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2	DECOY_sp|P77202|DSBG_ECOLI Thiol:disulfide interchange protein DsbG OS=Escherichia coli (strain K12) GN=dsbG PE=1 SV=2				588781	516294	108471	600596	539899	478922
DECOY_sp|P77252|YKGE_ECOLI Uncharacterized protein YkgE OS=Escherichia coli (strain K12) GN=ykgE PE=3 SV=1	DECOY_sp|P77252|YKGE_ECOLI Uncharacterized protein YkgE OS=Escherichia coli (strain K12) GN=ykgE PE=3 SV=1				1.90048e+06	1.468e+06	1.51026e+06	1.6069e+06	1.51195e+06	1.62155e+06
DECOY_sp|P77301|YBAP_ECOLI Uncharacterized protein YbaP OS=Escherichia coli (strain K12) GN=ybaP PE=4 SV=1	DECOY_sp|P77301|YBAP_ECOLI Uncharacterized protein YbaP OS=Escherichia coli (strain K12) GN=ybaP PE=4 SV=1				4.30681e+06	4.47841e+06	4.22354e+06		4.57433e+06	4.46292e+06
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.93749e+06	1.88911e+06	1.8484e+06	1.85126e+06	1.88689e+06	1.87944e+06
DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1	DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1				3.0645e+06	2.3927e+06	2.39762e+06	2.8591e+06	2.45959e+06	2.9832e+06
P00350	P00350		gnd		3.49591e+07	3.53953e+07	3.53784e+07	3.53564e+07	3.58456e+07	3.48421e+07
P00363	P00363		frdA		3.00981e+07	3.19146e+07	3.14596e+07	3.08925e+07	3.19515e+07	3.04864e+07
P00370	P00370		gdhA		2.17675e+06	2.24226e+06	2.18695e+06	2.21778e+06	2.31734e+06	2.3176e+06
P00393	P00393		ndh		5.08104e+06	5.01847e+06	5.05224e+06	5.12659e+06	4.97016e+06	5.0088e+06
P00448	P00448		sodA		3.44159e+06	3.60887e+06	3.44126e+06	3.65348e+06	3.41752e+06	3.40071e+06
P00452	P00452		nrdA		3.67623e+07	3.64777e+07	3.63249e+07	3.67619e+07	3.63967e+07	3.66719e+07
P00490	P00490		malP		5.7016e+06	5.5926e+06	5.6509e+06	5.51325e+06	5.58475e+06	5.64345e+06
P00509	P00509		aspC		1.7965e+07	1.79339e+07	1.79166e+07	1.79866e+07	1.78841e+07	1.78034e+07
P00547	P00547		thrB		635632	975135	874742	808253	952581	699266
P00550	P00550		mtlA		604093	681765	660911	552052	630813	554959
P00561	P00561		thrA		2.25629e+06	2.17917e+06	2.23344e+06	2.23293e+06	2.28604e+06	2.20764e+06
P00562	P00562		metL		2.71422e+06	2.73878e+06	2.76096e+06	2.7878e+06	2.67427e+06	2.75834e+06
