Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2				1.6083e+06	768254	835879	1.50957e+06	1.58792e+06	871390
DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1				2.24631e+06	2.1112e+06	2.0789e+06	2.18843e+06	2.11866e+06	2.11579e+06
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				9.13461e+06	7.46367e+06	7.63577e+06	9.09712e+06	8.30399e+06	7.67825e+06
DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1	DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1					3.69157e+06		3.15473e+06		
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.36621e+07	1.23723e+07	1.25676e+07	1.32017e+07	1.31819e+07	1.23367e+07
DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3	DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3				586759		927956	650417	709512	626609
DECOY_sp|P52131|YFJP_ECOLI Uncharacterized protein YfjP OS=Escherichia coli (strain K12) GN=yfjP PE=4 SV=4	DECOY_sp|P52131|YFJP_ECOLI Uncharacterized protein YfjP OS=Escherichia coli (strain K12) GN=yfjP PE=4 SV=4				4.02134e+06	3.86532e+06	3.97587e+06	4.34222e+06	4.7664e+06	4.39863e+06
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1				6.36722e+06		6.30814e+06	6.17771e+06		
DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1	DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1				3.95953e+06	3.61722e+06	3.9229e+06	3.99234e+06	4.04998e+06	4.09055e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.25557e+06	2.5617e+06	2.47787e+06	2.37581e+06	2.05683e+06	2.45627e+06
P00350	P00350		gnd		3.70188e+07	3.69187e+07	3.6955e+07	3.73355e+07	3.64483e+07	3.74022e+07
P00363	P00363		frdA		3.16857e+07	3.2482e+07	3.21339e+07	3.20039e+07	3.21379e+07	3.28406e+07
P00370	P00370		gdhA		2.19677e+06	2.30101e+06	2.18762e+06	2.2423e+06	2.22231e+06	2.37818e+06
P00393	P00393		ndh		5.55401e+06	5.69431e+06	5.80735e+06	5.65514e+06	5.4978e+06	5.67396e+06
P00448	P00448		sodA		4.06022e+06	4.23252e+06	4.08505e+06	4.16031e+06	3.96972e+06	4.14971e+06
P00452	P00452		nrdA		1.00168e+07	9.9011e+06	9.97102e+06	1.0002e+07	1.00918e+07	9.86692e+06
P00490	P00490		malP		5.32775e+06	5.12718e+06	5.10576e+06	5.10661e+06	5.28608e+06	5.17743e+06
P00509	P00509		aspC		1.8826e+07	1.92514e+07	1.87697e+07	1.86707e+07	1.8755e+07	1.8913e+07
P00547	P00547		thrB		817773	1.02272e+06	913727	1.05839e+06	854605	1.03121e+06
P00550	P00550		mtlA		828474	875915	884739	939631	865421	844019
P00561	P00561		thrA		2.2549e+06	2.25844e+06	2.27757e+06	2.12966e+06	2.39214e+06	2.28587e+06
P00562	P00562		metL		2.7422e+06	2.77363e+06	2.81199e+06	2.72555e+06	2.89574e+06	2.85969e+06
P00579	P00579		rpoD		8.58131e+06	8.44264e+06	8.44582e+06	8.57318e+06	8.65167e+06	8.5719e+06
P00582	P00582		polA		4.57997e+06	4.47097e+06	4.53351e+06	4.56065e+06	4.42684e+06	4.45156e+06
P00803	P00803		lepB		4.77158e+06	5.02794e+06	4.92981e+06	5.03879e+06	4.71652e+06	4.69711e+06
P00805	P00805		ansB		2.17316e+07	2.08676e+07	2.12119e+07	2.16661e+07	2.16847e+07	2.11433e+07
P00811	P00811		ampC		2.18172e+06	2.48357e+06	1.98297e+06	2.16496e+06	1.96666e+06	2.05438e+06
P00864	P00864		ppc		1.13996e+07	1.15936e+07	1.14436e+07	1.13535e+07	1.16466e+07	1.15163e+07
P00887	P00887		aroH		1.46701e+06	1.38166e+06	1.5413e+06	1.40321e+06	1.57092e+06	1.33497e+06
P00888	P00888		aroF		1.96494e+06	1.88176e+06	1.96139e+06	1.85337e+06	1.88252e+06	1.95369e+06
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				2.52599e+06	2.91691e+06	2.71721e+06	2.74607e+06	2.67443e+06	2.57763e+06
P00934	P00934		thrC		4.68539e+06	4.49962e+06	4.59036e+06	4.54477e+06	4.46374e+06	4.45676e+06
P00935	P00935		metB		790356	684271	706345	610022	779506	708350
P00936	P00936		cyaA		770070	848737	897330	822921	877062	748095
