Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
DECOY_sp|P09394|GLPQ_ECOLI Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2	DECOY_sp|P09394|GLPQ_ECOLI Glycerophosphoryl diester phosphodiesterase OS=Escherichia coli (strain K12) GN=glpQ PE=1 SV=2				1.43495e+06	1.54861e+06	1.35173e+06	1.45265e+06	1.67936e+06	1.30524e+06
DECOY_sp|P0A924|PGPB_ECOLI Phosphatidylglycerophosphatase B OS=Escherichia coli (strain K12) GN=pgpB PE=1 SV=1	DECOY_sp|P0A924|PGPB_ECOLI Phosphatidylglycerophosphatase B OS=Escherichia coli (strain K12) GN=pgpB PE=1 SV=1				1.09256e+06	1.10288e+06	1.48229e+06	1.09142e+06	1.53768e+06	1.33539e+06
DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1	DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1				971820	981951		1.00288e+06	934313	
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.66473e+07	2.04239e+07	2.79374e+07	1.89416e+07	2.51001e+07	2.69067e+07
DECOY_sp|P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3	DECOY_sp|P15028|FECB_ECOLI Fe(3+) dicitrate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fecB PE=3 SV=3				823410	827068	847402	828167	773577	831055
DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1	DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1				561290	731426	643287	792507	683135	
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.48873e+06	1.46517e+06	1.52129e+06	1.49377e+06	1.51366e+06	1.49141e+06
DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1	DECOY_sp|P77366|PGMB_ECOLI Beta-phosphoglucomutase OS=Escherichia coli (strain K12) GN=ycjU PE=1 SV=1				2.43764e+06	2.37824e+06	3.12063e+06	2.50444e+06	2.93799e+06	3.05697e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.71269e+06	2.9462e+06	2.81547e+06	2.69439e+06	2.57488e+06	2.63267e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.09266e+06	6.03962e+06		6.04739e+06		
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				8.76018e+06	8.42699e+06		8.63454e+06		
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				9.08952e+06	8.37834e+06		9.24146e+06		
P00350	P00350		gnd		3.43446e+07	3.47675e+07	3.44859e+07	3.5592e+07	3.49924e+07	3.45747e+07
P00363	P00363		frdA		4.64277e+07	4.47736e+07	4.35903e+07	4.60863e+07	4.49414e+07	4.42825e+07
P00370	P00370		gdhA		1.96567e+06	1.88276e+06	1.89293e+06	1.90165e+06	1.9212e+06	1.95094e+06
P00393	P00393		ndh		5.69127e+06	5.8099e+06	5.87614e+06	5.76698e+06	5.94072e+06	5.8344e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)				4.59899e+06	4.51443e+06		4.59563e+06		
P00448	P00448		sodA		2.66277e+06	2.68135e+06	2.64265e+06	2.67927e+06	2.741e+06	2.59573e+06
P00452	P00452		nrdA		1.00677e+07	9.92854e+06	1.02207e+07	1.02059e+07	9.99157e+06	9.99586e+06
P00490	P00490		malP		5.87751e+06	5.72934e+06	5.97873e+06	5.8225e+06	5.8732e+06	5.95996e+06
P00509	P00509		aspC		1.79202e+07	1.73705e+07	1.80815e+07	1.76412e+07	1.81765e+07	1.83934e+07
P00550	P00550		mtlA		568127	627684	592542	627147	558324	575611
P00561	P00561		thrA		3.07067e+06	3.00347e+06	3.02601e+06	2.89124e+06	3.12315e+06	3.03459e+06
P00562	P00562		metL		2.71386e+06	2.838e+06	2.69956e+06	2.73522e+06	2.7206e+06	2.72978e+06
P00579	P00579		rpoD		8.31855e+06	8.00474e+06	8.10145e+06	8.40197e+06	8.03212e+06	8.20657e+06
P00582	P00582		polA		3.47331e+06	3.46284e+06	3.44452e+06	3.52342e+06	3.50163e+06	3.36669e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.43233e+06	2.38906e+06	847904	2.54973e+06	1.4011e+06	1.24585e+06
P00803	P00803		lepB		4.13453e+06	4.13764e+06	4.23409e+06	4.22152e+06	4.29354e+06	3.97798e+06
P00805	P00805		ansB		2.12469e+07	2.10427e+07	2.11484e+07	2.13801e+07	2.09532e+07	2.07548e+07
P00811	P00811		ampC		1.02391e+06	941463	987367	904691	988440	912788
P00864	P00864		ppc		3.82177e+07	3.79472e+07	3.73065e+07	3.7506e+07	3.68797e+07	3.66904e+07
P00887	P00887		aroH		1.66488e+06	1.65058e+06	1.43839e+06	1.51948e+06	1.5273e+06	1.5614e+06
P00888	P00888		aroF		1.88805e+06	1.88301e+06	1.97005e+06	1.94167e+06	1.96998e+06	1.87339e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)				6.55952e+06	6.35286e+06	1.24261e+06	6.57001e+06	2.63085e+06	
P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)				1.11492e+07	1.09272e+07		1.12694e+07		
P00934	P00934		thrC		4.71018e+06	4.68077e+06	4.6665e+06	4.64332e+06	4.5797e+06	4.59393e+06
P00935	P00935		metB		490239	389179	289790	480925	438557	277427
P00946	P00946		manA		1.16011e+07	1.12856e+07	1.15489e+07	1.16491e+07	1.13993e+07	1.16054e+07
P00954	P00954		trpS		1.34952e+07	1.34728e+07	1.31169e+07	1.36536e+07	1.28842e+07	1.28414e+07
P00956	P00956		ileS		2.0521e+07	2.01066e+07	1.92792e+07	2.02313e+07	1.93639e+07	1.95353e+07
P00957	P00957		alaS		1.81395e+07	1.79998e+07	1.76136e+07	1.82443e+07	1.76288e+07	1.73092e+07
P00959	P00959		metG		1.89127e+07	1.89473e+07	1.86204e+07	1.93303e+07	1.84278e+07	1.86822e+07
P00960	P00960		glyQ		3.83907e+06	3.62091e+06	4.01842e+06	3.78945e+06	3.91795e+06	3.75694e+06
P00961	P00961		glyS		1.08678e+07	1.0653e+07	1.02898e+07	1.0608e+07	1.04273e+07	1.04696e+07
P00962	P00962		glnS		1.0295e+07	1.03337e+07	9.87899e+06	1.04279e+07	1.01163e+07	9.99335e+06
P00963	P00963		asnA		1.47886e+07	1.50423e+07	1.41368e+07	1.5366e+07	1.4154e+07	1.39945e+07
P00968	P00968		carB		4.60119e+06	4.62064e+06	4.58842e+06	4.48051e+06	4.76542e+06	4.57665e+06
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)				4.13364e+06	4.18327e+06	2.7481e+06	4.34513e+06	2.94121e+06	3.14196e+06
P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)				1.34086e+07	1.07154e+07		1.39926e+07		
P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)				1.69686e+07	1.64956e+07		1.73639e+07		
P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)				1.30616e+07	1.26968e+07		1.29764e+07		
