Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				5.87942e+06	4.95421e+06	5.72176e+06	7.0125e+06	7.36793e+06	7.35438e+06
DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1	DECOY_sp|P0A932|GFCE_ECOLI Putative polysaccharide export protein GfcE OS=Escherichia coli (strain K12) GN=gfcE PE=3 SV=1				973602	985792			905322	971899
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.66916e+07	2.06248e+07	1.90478e+07	2.32784e+07	2.38162e+07	2.31703e+07
DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	DECOY_sp|P0AEZ1|METF_ECOLI 5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1				165621			321113		194648
DECOY_sp|P0AFI0|OXC_ECOLI Probable oxalyl-CoA decarboxylase OS=Escherichia coli (strain K12) GN=oxc PE=1 SV=1	DECOY_sp|P0AFI0|OXC_ECOLI Probable oxalyl-CoA decarboxylase OS=Escherichia coli (strain K12) GN=oxc PE=1 SV=1						1.67264e+06		1.32129e+06	1.3667e+06
DECOY_sp|P37624|YHIH_ECOLI Uncharacterized ABC transporter ATP-binding protein YhiH OS=Escherichia coli (strain K12) GN=yhiH PE=3 SV=3	DECOY_sp|P37624|YHIH_ECOLI Uncharacterized ABC transporter ATP-binding protein YhiH OS=Escherichia coli (strain K12) GN=yhiH PE=3 SV=3				910807	862803	902435	843485		772056
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1				5.70294e+06	6.58068e+06	6.10326e+06	6.32675e+06		6.01074e+06
DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1	DECOY_sp|P76142|LSRB_ECOLI Autoinducer 2-binding protein LsrB OS=Escherichia coli (strain K12) GN=lsrB PE=1 SV=1				1.19645e+06	1.07912e+06	1.17292e+06	1.20922e+06	1.05501e+06	1.1999e+06
DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1	DECOY_sp|P77455|PAAZ_ECOLI Bifunctional protein PaaZ OS=Escherichia coli (strain K12) GN=paaZ PE=1 SV=1				2.68704e+06	2.95198e+06	2.72388e+06	2.55781e+06	2.32007e+06	2.32714e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				6.1146e+06	6.0598e+06	6.18449e+06	674143	689998	696027
