Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	DECOY_sp|P00561|AK1H_ECOLI Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2				914978	1.04981e+06	1.39537e+06	1.34729e+06	1.3232e+06	1.14728e+06
DECOY_sp|P02930|TOLC_ECOLI Outer membrane protein TolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3	DECOY_sp|P02930|TOLC_ECOLI Outer membrane protein TolC OS=Escherichia coli (strain K12) GN=tolC PE=1 SV=3				1.57686e+06				1.47155e+06	
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				6.22945e+06	6.47823e+06	6.92109e+06	7.39224e+06	7.33124e+06	6.2784e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.16779e+07	2.16869e+07	2.27609e+07	2.32068e+07	2.28194e+07	2.15212e+07
DECOY_sp|P0AFL6|PPX_ECOLI Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2	DECOY_sp|P0AFL6|PPX_ECOLI Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2				1.88843e+06	1.7461e+06	1.82761e+06	1.8592e+06	2.00049e+06	1.73062e+06
DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3	DECOY_sp|P31677|OTSA_ECOLI Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3				587032	570985	551208	592846	579041	590833
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2				1.39499e+06	1.40942e+06	1.35629e+06	1.35557e+06	1.32177e+06	1.22361e+06
DECOY_sp|P52140|YFJY_ECOLI UPF0758 protein YfjY OS=Escherichia coli (strain K12) GN=yfjY PE=3 SV=1	DECOY_sp|P52140|YFJY_ECOLI UPF0758 protein YfjY OS=Escherichia coli (strain K12) GN=yfjY PE=3 SV=1				206502	215486		162779	172376	173924
DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1	DECOY_sp|P54745|HRSA_ECOLI Heat-responsive suppressor HrsA OS=Escherichia coli (strain K12) GN=hrsA PE=1 SV=1					6.06769e+06			6.26013e+06	
DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1	DECOY_sp|P60584|CAIA_ECOLI Crotonobetainyl-CoA dehydrogenase OS=Escherichia coli (strain K12) GN=caiA PE=1 SV=1				3.09439e+06	3.00125e+06	3.29249e+06	3.66492e+06	3.42854e+06	2.89602e+06
