Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	DECOY_sp|P04036|DAPB_ECOLI 4-hydroxy-tetrahydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1				2.064e+06	2.15575e+06	1.97603e+06	2.01122e+06	1.85486e+06	2.22118e+06
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				6.80005e+06	6.36284e+06	6.93332e+06	5.16853e+06	5.98791e+06	5.69545e+06
DECOY_sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2	DECOY_sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2				606220	590137	572275	602102	504563	580302
DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1	DECOY_sp|P0A6P5|DER_ECOLI GTPase Der OS=Escherichia coli (strain K12) GN=der PE=1 SV=1						2.97642e+06			
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				1.29667e+07	1.21902e+07	1.23344e+07	1.21006e+07	1.23081e+07	1.23993e+07
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2				4.52661e+06	6.48057e+06	4.3163e+06	6.35196e+06	4.00844e+06	6.51629e+06
DECOY_sp|P27250|YJGB_ECOLI Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2	DECOY_sp|P27250|YJGB_ECOLI Uncharacterized zinc-type alcohol dehydrogenase-like protein YjgB OS=Escherichia coli (strain K12) GN=yjgB PE=3 SV=2				4.09888e+06		3.91516e+06		4.42892e+06	2.94596e+06
DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3	DECOY_sp|P37653|BCSA_ECOLI Cellulose synthase catalytic subunit [UDP-forming] OS=Escherichia coli (strain K12) GN=bcsA PE=1 SV=3				566668	524759	612156	479515	678723	559978
DECOY_sp|P51981|AEEP_ECOLI L-Ala-D/L-Glu epimerase OS=Escherichia coli (strain K12) GN=ycjG PE=1 SV=2	DECOY_sp|P51981|AEEP_ECOLI L-Ala-D/L-Glu epimerase OS=Escherichia coli (strain K12) GN=ycjG PE=1 SV=2				978333	1.15054e+06	1.12739e+06	1.07131e+06	920188	1.24139e+06
DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1	DECOY_sp|P63389|YHES_ECOLI Uncharacterized ABC transporter ATP-binding protein YheS OS=Escherichia coli (strain K12) GN=yheS PE=1 SV=1				3.88572e+06	3.99326e+06	3.93574e+06	4.00038e+06	3.96792e+06	3.86718e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)					1.01713e+07		1.06705e+07		9.91613e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)					2.15066e+07		2.18194e+07		2.27149e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				373793	1.41353e+07		1.38726e+07	1.72992e+06	1.40812e+07
P00350	P00350		gnd		3.78037e+07	3.6791e+07	3.84737e+07	3.70832e+07	3.75183e+07	3.758e+07
P00363	P00363		frdA		4.20601e+07	4.1195e+07	4.22541e+07	4.08791e+07	4.28276e+07	4.0412e+07
P00370	P00370		gdhA		1.89126e+06	1.89177e+06	1.81031e+06	1.86362e+06	1.82384e+06	1.78307e+06
P00393	P00393		ndh		5.35825e+06	5.26503e+06	5.47665e+06	5.57489e+06	5.24973e+06	5.4404e+06
P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)					7.49949e+06		7.46896e+06		7.34877e+06
P00448	P00448		sodA		3.94389e+06	3.85325e+06	4.10962e+06	3.9495e+06	3.73372e+06	3.63817e+06
P00452	P00452		nrdA		1.01493e+07	1.00739e+07	1.01645e+07	9.79367e+06	9.94816e+06	1.00479e+07
P00490	P00490		malP		5.70905e+06	5.49942e+06	5.67339e+06	5.62537e+06	5.61742e+06	5.45846e+06
P00509	P00509		aspC		1.84468e+07	1.83667e+07	1.87751e+07	1.87301e+07	1.85536e+07	1.85086e+07
P00547	P00547		thrB		1.76192e+06	1.5173e+06	1.80606e+06	1.67332e+06	1.66991e+06	1.57357e+06
P00550	P00550		mtlA		1.68421e+06	1.51851e+06	1.8092e+06	1.66049e+06	1.92965e+06	1.6511e+06
P00561	P00561		thrA		2.28433e+06	2.13299e+06	2.2372e+06	2.19226e+06	2.31729e+06	2.05429e+06
P00562	P00562		metL		2.9241e+06	3.06782e+06	2.88122e+06	3.06878e+06	2.97977e+06	3.07281e+06
P00579	P00579		rpoD		6.44709e+06	6.13936e+06	6.35594e+06	6.10051e+06	6.4617e+06	6.18238e+06
P00582	P00582		polA		3.43498e+06	3.36321e+06	3.43842e+06	3.42817e+06	3.35297e+06	3.45798e+06
P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)				2.0906e+06	5.66713e+06	480708	5.67272e+06		5.38334e+06
P00803	P00803		lepB		4.36005e+06	4.95842e+06	4.81888e+06	4.82939e+06	4.3707e+06	4.92399e+06
P00805	P00805		ansB		2.0643e+07	2.00501e+07	2.05156e+07	2.06591e+07	2.02141e+07	2.07101e+07
P00811	P00811		ampC		896319	896310	1.39923e+06	1.07794e+06	904122	993738
P00864	P00864		ppc		1.03853e+07	1.05995e+07	1.0294e+07	1.02398e+07	1.04263e+07	1.0366e+07
P00887	P00887		aroH		2.35327e+06	2.79264e+06	2.39908e+06	2.85353e+06	2.2772e+06	2.6346e+06
P00888	P00888		aroF		1.97374e+06	1.87835e+06	1.99211e+06	1.80677e+06	1.88154e+06	1.92578e+06
P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)					1.25151e+07		1.28266e+07		1.224e+07
