Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P05793|ILVC_ECOLI Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4	DECOY_sp|P05793|ILVC_ECOLI Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4				1.42753e+06	1.89641e+06	1.41654e+06	1.45599e+06	1.81603e+06	1.85189e+06
DECOY_sp|P05827|ILVY_ECOLI HTH-type transcriptional regulator IlvY OS=Escherichia coli (strain K12) GN=ilvY PE=4 SV=1	DECOY_sp|P05827|ILVY_ECOLI HTH-type transcriptional regulator IlvY OS=Escherichia coli (strain K12) GN=ilvY PE=4 SV=1				915827	576016	733652		587661	935419
DECOY_sp|P06974|FLIM_ECOLI Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) GN=fliM PE=1 SV=1	DECOY_sp|P06974|FLIM_ECOLI Flagellar motor switch protein FliM OS=Escherichia coli (strain K12) GN=fliM PE=1 SV=1				4.24899e+07	4.37602e+07	4.27145e+07	4.19581e+07	4.37581e+07	4.25725e+07
DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1	DECOY_sp|P08200|IDH_ECOLI Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1				6.32393e+06	6.13409e+06	6.59523e+06	6.59678e+06	4.96487e+06	5.64981e+06
DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2	DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2					2.50167e+06				1.86772e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				2.19554e+07	2.13088e+07	2.20486e+07	2.20693e+07	2.12158e+07	2.12946e+07
DECOY_sp|P0ACI3|XYLR_ECOLI Xylose operon regulatory protein OS=Escherichia coli (strain K12) GN=xylR PE=1 SV=1	DECOY_sp|P0ACI3|XYLR_ECOLI Xylose operon regulatory protein OS=Escherichia coli (strain K12) GN=xylR PE=1 SV=1				343528		380015	285927	189305	169808
DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1	DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1				3.69396e+06	3.23934e+06	3.48604e+06	3.75786e+06	3.64011e+06	3.89207e+06
DECOY_sp|P0AG71|RMUC_ECOLI DNA recombination protein RmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1	DECOY_sp|P0AG71|RMUC_ECOLI DNA recombination protein RmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1					1.97509e+06	1.75107e+06	1.13084e+06	2.23797e+06	2.17055e+06
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2						4.43899e+06	4.59047e+06	6.23124e+06	6.38074e+06
DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2	DECOY_sp|P32701|YJCC_ECOLI Uncharacterized membrane protein YjcC OS=Escherichia coli (strain K12) GN=yjcC PE=1 SV=2				1.08147e+06	1.1064e+06	1.17501e+06	1.0495e+06	1.06408e+06	1.56251e+06
O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)				666019	9.82085e+06	695981	611227	1.02369e+07	9.8665e+06
O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)				1.4754e+06	1.98174e+07	1.53593e+06	1.37943e+06	1.9935e+07	2.11034e+07
P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)				1.46469e+06	1.78981e+07	1.26071e+06	1.33278e+06	1.7389e+07	1.68819e+07
P00350	P00350		gnd		9.16008e+07	9.05936e+07	9.16679e+07	9.17669e+07	8.95398e+07	9.03786e+07
P00363	P00363		frdA		4.74192e+07	4.50351e+07	4.74211e+07	4.6534e+07	4.42192e+07	4.34598e+07
P00370	P00370		gdhA		1.80968e+06	1.77206e+06	1.73764e+06	1.72526e+06	1.68514e+06	1.72812e+06
