Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
DECOY_sp|P05827|ILVY_ECOLI HTH-type transcriptional regulator IlvY OS=Escherichia coli (strain K12) GN=ilvY PE=4 SV=1	DECOY_sp|P05827|ILVY_ECOLI HTH-type transcriptional regulator IlvY OS=Escherichia coli (strain K12) GN=ilvY PE=4 SV=1				857191	903600	734066	723237	746645	1.08702e+06
DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2	DECOY_sp|P0A9J0|RNG_ECOLI Ribonuclease G OS=Escherichia coli (strain K12) GN=rng PE=1 SV=2							3.12199e+06		2.97039e+06
DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1	DECOY_sp|P0AA95|YACC_ECOLI Uncharacterized protein YacC OS=Escherichia coli (strain K12) GN=yacC PE=4 SV=1				3.02383e+07	3.0614e+07	3.1857e+07	2.98566e+07	3.01501e+07	3.09042e+07
DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1	DECOY_sp|P0AE45|YTFL_ECOLI UPF0053 inner membrane protein YtfL OS=Escherichia coli (strain K12) GN=ytfL PE=1 SV=1				2.64416e+07	2.60527e+07	2.7204e+07	2.18769e+07	2.46546e+07	2.61362e+07
DECOY_sp|P0AFL6|PPX_ECOLI Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2	DECOY_sp|P0AFL6|PPX_ECOLI Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2				1.70218e+06	1.72769e+06	1.75775e+06	1.48306e+06	1.45814e+06	1.65481e+06
DECOY_sp|P0AG71|RMUC_ECOLI DNA recombination protein RmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1	DECOY_sp|P0AG71|RMUC_ECOLI DNA recombination protein RmuC OS=Escherichia coli (strain K12) GN=rmuC PE=1 SV=1				4.56681e+06	4.5168e+06	4.6075e+06		4.46647e+06	4.45696e+06
DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2	DECOY_sp|P24182|ACCC_ECOLI Biotin carboxylase OS=Escherichia coli (strain K12) GN=accC PE=1 SV=2				1.49235e+06	1.46924e+06	1.64968e+06	1.76993e+06	1.82172e+06	1.77052e+06
DECOY_sp|P52127|YFJL_ECOLI Uncharacterized protein YfjL OS=Escherichia coli (strain K12) GN=yfjL PE=4 SV=1	DECOY_sp|P52127|YFJL_ECOLI Uncharacterized protein YfjL OS=Escherichia coli (strain K12) GN=yfjL PE=4 SV=1				4.39323e+06	4.55294e+06	4.77704e+06	4.58054e+06	4.27117e+06	4.86933e+06
DECOY_sp|P75895|RUTD_ECOLI Putative aminoacrylate hydrolase RutD OS=Escherichia coli (strain K12) GN=rutD PE=1 SV=1	DECOY_sp|P75895|RUTD_ECOLI Putative aminoacrylate hydrolase RutD OS=Escherichia coli (strain K12) GN=rutD PE=1 SV=1				954297	962752	911461	935675	955790	974054
DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	DECOY_sp|P77348|MPPA_ECOLI Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2				1.81502e+06	1.85862e+06	1.93224e+06	1.97359e+06	2.28825e+06	2.21018e+06
